playername,playerid,vsname,vsid,date,Play
T_Murphy,1349,T Thornburg,1068,2016-10-01,Tom Murphy doubled to left (Liner). Jordan Patterson scored.
T_Murphy,1349,S Casilla,2873,2016-09-07,Tom Murphy singled to center (Liner).
T_Murphy,1349,B Shipley,1515,2016-09-03,Tom Murphy singled to left (Grounder). DJ LeMahieu scored. Carlos Gonzalez advanced to 3B on error. Tom Murphy advanced to 2B. Error by Socrates Brito.
T_Murphy,1349,R Ray,1148,2016-09-02,Tom Murphy singled to left (Liner). Stephen Cardullo advanced to 3B. Cristhian Adames advanced to 2B.
T_Murphy,1349,W Smith,8048,2016-09-06,Tom Murphy walked.
T_Murphy,1349,D Hudson,7146,2016-09-04,Tom Murphy singled to center (Fliner (Liner)). Nick Hundley advanced to 2B.
T_Murphy,1349,T Cravy,1077,2016-10-02,Tom Murphy was hit by a pitch. Nolan Arenado advanced to 2B.
T_Murphy,1349,J Fields,5070,2016-09-23,Tom Murphy advanced on a stolen base to 2B.
T_Murphy,1349,B Shipley,1515,2016-09-14,Tom Murphy walked.
T_Murphy,1349,J Osich,1152,2016-09-27,Tom Murphy walked.
T_Murphy,1349,L Campos,1227,2016-09-17,Tom Murphy grounded out to shortstop (Grounder).
T_Murphy,1349,C Friedrich,7942,2016-09-10,Tom Murphy flied out to shortstop (Fly).
T_Murphy,1349,J Garcia,8137,2016-09-21,Tom Murphy struck out swinging.
T_Murphy,1349,C Friedrich,7942,2016-09-10,Tom Murphy struck out swinging.
T_Murphy,1349,L Avilan,2882,2016-09-22,Tom Murphy flied out to left (Fliner (Fly)).
T_Murphy,1349,H Strickland,7836,2016-09-29,Tom Murphy struck out swinging.
T_Murphy,1349,G Dayton,1120,2016-09-23,Tom Murphy struck out swinging.
T_Murphy,1349,J Barrett,1332,2016-09-14,Tom Murphy grounded out to third (Grounder).
T_Murphy,1349,J Cueto,6893,2016-09-29,Tom Murphy struck out swinging.
T_Murphy,1349,J Cueto,6893,2016-09-29,Tom Murphy struck out swinging.
T_Murphy,1349,R Scahill,9286,2016-10-02,Tom Murphy flied out to second (Fly).
T_Murphy,1349,H Strickland,7836,2016-09-07,Tom Murphy struck out swinging.
T_Murphy,1349,B Hand,9111,2016-09-16,Tom Murphy struck out swinging.
T_Murphy,1349,B Shipley,1515,2016-09-03,Tom Murphy grounded into a double play to third (Grounder). David Dahl out at second.
T_Murphy,1349,B Boyer,2237,2016-10-02,Tom Murphy struck out swinging.
T_Murphy,1349,T Thornburg,1068,2016-10-02,Tom Murphy struck out swinging.
