playername,playerid,vsname,vsid,date,Play
T_Rosenthal,1074,A Rizzo,3473,2016-05-23,Anthony Rizzo lined out to third (Fliner (Liner)). Dexter Fowler out at home.
T_Rosenthal,1074,J Harrison,8202,2016-06-10,Josh Harrison flied out to right (Fly).
T_Rosenthal,1074,J Francoeur,4792,2016-04-10,Jeff Francoeur struck out swinging.
T_Rosenthal,1074,M Szczur,1125,2016-06-21,Matt Szczur reached on fielder's choice to shortstop (Grounder). Javier Baez out at second.
T_Rosenthal,1074,A McCutchen,9847,2016-06-10,Andrew McCutchen flied out to center (Fly).
T_Rosenthal,1074,G Polanco,1290,2016-05-07,Gregory Polanco reached on fielder's choice to first (Grounder). David Freese advanced to 3B. Sean Rodriguez out at second.
T_Rosenthal,1074,A Almora Jr.,1410,2016-06-21,Albert Almora struck out swinging.
T_Rosenthal,1074,A Russell,1410,2016-06-20,Addison Russell struck out swinging.
T_Rosenthal,1074,D LeMahieu,9874,2016-05-18,DJ LeMahieu grounded into a double play to second (Grounder). Mark Reynolds out at second.
T_Rosenthal,1074,M Prado,3312,2016-07-15,Martin Prado struck out swinging.
T_Rosenthal,1074,J Bruce,9892,2016-06-09,Jay Bruce grounded out to second (Grounder).
T_Rosenthal,1074,G Parra,8553,2016-05-18,Gerardo Parra struck out swinging.
T_Rosenthal,1074,R Flores,1116,2016-04-13,Ramon Flores struck out looking.
T_Rosenthal,1074,J Mercer,6547,2016-04-05,Jordy Mercer struck out swinging.
T_Rosenthal,1074,A Duvall,1095,2016-06-09,Adam Duvall flied out to second (Fliner (Fly)).
T_Rosenthal,1074,E Hosmer,3516,2016-06-29,Eric Hosmer struck out swinging.
T_Rosenthal,1074,B Wallace,8434,2016-04-24,Brett Wallace grounded out to second (Grounder).
T_Rosenthal,1074,H Kendrick,4229,2016-05-15,Howie Kendrick grounded into a double play to second (Grounder). Adrian Gonzalez out at second.
T_Rosenthal,1074,M Montero,3364,2016-04-20,Miguel Montero struck out swinging.
T_Rosenthal,1074,J Segura,5933,2016-05-21,Jean Segura struck out swinging.
T_Rosenthal,1074,J Jaso,5887,2016-04-05,John Jaso grounded out to second (Grounder).
T_Rosenthal,1074,S Marte,9241,2016-06-11,Starling Marte reached on fielder's choice to pitcher (Grounder). Gregory Polanco advanced to 3B. Jung Ho Kang out at second.
T_Rosenthal,1074,K Johnson,2234,2016-04-08,Kelly Johnson struck out swinging.
T_Rosenthal,1074,S Rodriguez,6589,2016-10-01,Sean Rodriguez flied out to right (Fliner (Liner)).
T_Rosenthal,1074,M Trout,1015,2016-05-11,Mike Trout flied out to center (Fly).
T_Rosenthal,1074,B Crawford,5343,2016-06-04,Brandon Crawford struck out swinging.
T_Rosenthal,1074,P Valaika,1488,2016-09-20,Pat Valaika fouled out to first (Fly).
T_Rosenthal,1074,B Zobrist,7435,2016-05-25,Ben Zobrist struck out swinging.
T_Rosenthal,1074,A McCutchen,9847,2016-07-07,Andrew McCutchen struck out swinging.
T_Rosenthal,1074,H Perez,5751,2016-07-08,Hernan Perez sacrificed to first (Bunt Grounder). Kirk Nieuwenhuis advanced to 2B.
T_Rosenthal,1074,A Frazier,1522,2016-10-01,Adam Frazier struck out swinging.
T_Rosenthal,1074,G Polanco,1290,2016-10-01,Gregory Polanco grounded out to first (Grounder).
T_Rosenthal,1074,J Mercer,6547,2016-07-05,Jordy Mercer flied out to center (Fly).
T_Rosenthal,1074,J Patterson,1511,2016-09-20,Jordan Patterson flied out to center (Fliner (Fly)). Daniel Descalso advanced to 3B.
T_Rosenthal,1074,A Pujols,1177,2016-05-11,Albert Pujols grounded out to shortstop (Grounder).
T_Rosenthal,1074,J Bell,1314,2016-10-01,Josh Bell grounded out to third (Grounder).
T_Rosenthal,1074,M Montero,3364,2016-05-25,Miguel Montero grounded out to second (Grounder).
T_Rosenthal,1074,J Harrison,8202,2016-07-05,Josh Harrison grounded out to shortstop (Grounder). Starling Marte advanced to 3B.
T_Rosenthal,1074,A Gonzalez,1908,2016-07-24,Adrian Gonzalez struck out swinging.
T_Rosenthal,1074,S Rodriguez,6589,2016-10-01,Sean Rodriguez struck out swinging.
T_Rosenthal,1074,H Kendrick,4229,2016-07-24,Howie Kendrick grounded out to second (Grounder).
T_Rosenthal,1074,E Aybar,4082,2016-04-08,Erick Aybar grounded out to second (Grounder).
T_Rosenthal,1074,C Cuthbert,1047,2016-06-27,Cheslor Cuthbert flied out to right (Fliner (Fly)).
T_Rosenthal,1074,S Rodriguez,6589,2016-07-05,Sean Rodriguez flied out to right (Fly).
T_Rosenthal,1074,J Dyson,4866,2016-06-30,Jarrod Dyson lined out to third (Liner).
T_Rosenthal,1074,J Parker,1162,2016-06-04,Jarrett Parker struck out swinging.
T_Rosenthal,1074,A Gonzalez,1908,2016-07-23,Adrian Gonzalez struck out swinging.
T_Rosenthal,1074,W Merrifield,1128,2016-06-27,Whit Merrifield struck out swinging.
T_Rosenthal,1074,A Rizzo,3473,2016-09-23,Anthony Rizzo lined out to shortstop (Fliner (Liner)).
T_Rosenthal,1074,J Arrieta,4153,2016-09-23,Jake Arrieta struck out swinging.
T_Rosenthal,1074,E Suarez,1255,2016-09-27,Eugenio Suarez reached on fielder's choice to third (Grounder). Tyler Holt out at second.
T_Rosenthal,1074,R Cabrera,1032,2016-09-27,Ramon Cabrera flied out to left (Fly).
T_Rosenthal,1074,T Barnhart,1020,2016-09-27,Tucker Barnhart struck out swinging.
T_Rosenthal,1074,B Harper,1157,2016-04-30,Bryce Harper grounded into a double play to shortstop (Grounder). Anthony Rendon out at second.
T_Rosenthal,1074,A Presley,5305,2016-05-30,Alex Presley struck out swinging.
T_Rosenthal,1074,B Belt,1026,2016-09-16,Brandon Belt struck out swinging.
T_Rosenthal,1074,D Norris,6867,2016-07-18,Derek Norris struck out swinging.
T_Rosenthal,1074,R Schimpf,9953,2016-07-18,Ryan Schimpf struck out swinging.
T_Rosenthal,1074,K Johnson,2234,2016-04-10,Kelly Johnson advanced on defensive indifference to 2B.
T_Rosenthal,1074,K Nieuwenhuis,6400,2016-05-30,Kirk Nieuwenhuis walked.
T_Rosenthal,1074,K Bryant,1542,2016-09-23,Kris Bryant walked.
T_Rosenthal,1074,C Cron,1254,2016-05-11,C.J. Cron advanced on defensive indifference to 2B.
T_Rosenthal,1074,J Turner,5235,2016-07-23,Justin Turner advanced on a stolen base to 2B.
T_Rosenthal,1074,K Morales,8610,2016-06-27,Kendrys Morales singled to left (Grounder).
T_Rosenthal,1074,C Seager,1362,2016-07-24,Corey Seager singled to center (Grounder).
T_Rosenthal,1074,C Owings,1003,2016-05-21,Chris Owings singled to center (Grounder).
