playername,playerid,vsname,vsid,date,Play
T_Thornburg,1068,J Heyward,4940,2016-05-18,Jason Heyward flied out to third (Fly).
T_Thornburg,1068,S Cardullo,1120,2016-10-02,Stephen Cardullo grounded out to shortstop (Grounder).
T_Thornburg,1068,W Contreras,1160,2016-09-15,Willson Contreras struck out looking.
T_Thornburg,1068,R Cano,3269,2016-08-21,Robinson Cano flied out to center (Fly).
T_Thornburg,1068,D Descalso,8392,2016-10-01,Daniel Descalso struck out swinging.
T_Thornburg,1068,K Bryant,1542,2016-05-18,Kris Bryant struck out swinging.
T_Thornburg,1068,J Baez,1297,2016-05-19,Javier Baez struck out swinging.
T_Thornburg,1068,F Cervelli,5275,2016-09-02,Francisco Cervelli flied out to shortstop (Fly).
T_Thornburg,1068,S O'Malley,9629,2016-08-21,Shawn O'Malley flied out to third (Fly).
T_Thornburg,1068,P Valaika,1488,2016-10-01,Pat Valaika struck out looking.
T_Thornburg,1068,J Pederson,1189,2016-06-19,Joc Pederson struck out looking.
T_Thornburg,1068,M Bourn,6387,2016-07-26,Michael Bourn struck out swinging.
T_Thornburg,1068,D Fowler,4062,2016-09-15,Dexter Fowler struck out looking.
T_Thornburg,1068,D Fowler,4062,2016-05-19,Dexter Fowler flied out to right (Fly). Addison Russell advanced to 3B.
T_Thornburg,1068,S Marte,9241,2016-09-02,Starling Marte flied out to right (Fly).
T_Thornburg,1068,B Drury,1161,2016-07-28,Brandon Drury flied out to center (Fly).
T_Thornburg,1068,J Heyward,4940,2016-05-19,Jason Heyward struck out swinging.
T_Thornburg,1068,J Loney,4556,2016-06-10,James Loney struck out swinging.
T_Thornburg,1068,G Beckham,9015,2016-08-10,Gordon Beckham struck out swinging.
T_Thornburg,1068,A Ramirez,5133,2016-05-14,Alexei Ramirez reached on fielder's choice to pitcher (Grounder). Melvin Upton Jr. out at second.
T_Thornburg,1068,P Goldschmidt,9218,2016-07-28,Paul Goldschmidt grounded out to third (Grounder).
T_Thornburg,1068,S Selsky,1295,2016-09-23,Steve Selsky flied out to right (Fly). Eugenio Suarez advanced to 3B.
T_Thornburg,1068,K Bryant,1542,2016-09-15,Kris Bryant grounded out to shortstop (Grounder).
T_Thornburg,1068,C Coghlan,6878,2016-09-18,Chris Coghlan grounded out to first (Grounder). Javier Baez advanced to 2B.
T_Thornburg,1068,B Moss,4467,2016-09-11,Brandon Moss out on a dropped third strike.
T_Thornburg,1068,C Hernandez,1055,2016-06-02,Cesar Hernandez struck out swinging.
T_Thornburg,1068,T Barnhart,1020,2016-09-23,Tucker Barnhart grounded out to first (Grounder). Eugenio Suarez scored.
T_Thornburg,1068,M Kemp,5631,2016-08-08,Matt Kemp struck out swinging.
T_Thornburg,1068,P Gosselin,1095,2016-08-05,Phil Gosselin flied out to right (Fly).
T_Thornburg,1068,C Utley,1679,2016-06-17,Chase Utley flied out to right (Fliner (Fly)).
T_Thornburg,1068,B Drury,1161,2016-07-26,Brandon Drury struck out swinging.
T_Thornburg,1068,I De Jesus,9886,2016-07-17,Ivan De Jesus flied out to second (Fly).
T_Thornburg,1068,M Smith,1360,2016-05-25,Mallex Smith struck out looking.
T_Thornburg,1068,R Ortega,1032,2016-05-03,Rafael Ortega grounded out to first (Grounder).
T_Thornburg,1068,A Pierzynski,746&,2016-08-10,A.J. Pierzynski grounded out to shortstop (Grounder).
T_Thornburg,1068,J Turner,5235,2016-06-19,Justin Turner flied out to left (Fly).
T_Thornburg,1068,Y Molina,7007,2016-04-13,Yadier Molina grounded out to third (Grounder).
T_Thornburg,1068,A Pujols,1177,2016-05-04,Albert Pujols struck out looking.
T_Thornburg,1068,J Gyorko,1081,2016-08-30,Jedd Gyorko struck out swinging.
T_Thornburg,1068,J Bruce,9892,2016-05-07,Jay Bruce struck out swinging.
T_Thornburg,1068,M Adams,9393,2016-07-08,Matt Adams grounded out to second (Grounder).
T_Thornburg,1068,F Freeman,5361,2016-05-24,Freddie Freeman grounded out to second (Liner).
T_Thornburg,1068,T Joseph,1034,2016-06-04,Tommy Joseph fouled out to catcher (Fly).
T_Thornburg,1068,A Diaz,1593,2016-07-08,Aledmys Diaz flied out to left (Fliner (Liner)).
T_Thornburg,1068,E Inciarte,4922,2016-05-25,Ender Inciarte flied out to left (Fly).
T_Thornburg,1068,T Thompson,9952,2016-06-16,Trayce Thompson grounded out to third (Grounder).
T_Thornburg,1068,D Norris,6867,2016-08-02,Derek Norris struck out swinging.
T_Thornburg,1068,C Seager,1362,2016-06-17,Corey Seager struck out swinging.
T_Thornburg,1068,B Butler,7399,2016-06-22,Billy Butler flied out to left (Fly).
T_Thornburg,1068,W Myers,1004,2016-05-13,Wil Myers struck out looking.
T_Thornburg,1068,Y Molina,7007,2016-08-31,Yadier Molina grounded out to second (Grounder).
T_Thornburg,1068,D Valencia,6364,2016-06-22,Danny Valencia flied out to left (Fliner (Liner)).
T_Thornburg,1068,M Bourn,6387,2016-08-05,Michael Bourn flied out to left (Fliner (Liner)).
T_Thornburg,1068,J Peterson,1232,2016-08-10,Jace Peterson flied out to center (Fliner (Fly)).
T_Thornburg,1068,H Iribarren,4177,2016-09-23,Hernan Iribarren struck out swinging.
T_Thornburg,1068,S Rodriguez,6589,2016-09-22,Sean Rodriguez struck out looking.
T_Thornburg,1068,A Garcia,1377,2016-08-08,Adonis Garcia grounded out to shortstop (Grounder).
T_Thornburg,1068,E Suarez,1255,2016-05-07,Eugenio Suarez grounded out to shortstop (Grounder).
T_Thornburg,1068,C d'Arnaud,6652,2016-05-25,Chase d'Arnaud flied out to second (Fly).
T_Thornburg,1068,K Wong,1253,2016-08-29,Kolten Wong grounded out to second (Grounder).
T_Thornburg,1068,J Bruce,9892,2016-05-08,Jay Bruce struck out swinging.
T_Thornburg,1068,N Walker,7539,2016-05-21,Neil Walker grounded out to first (Grounder).
T_Thornburg,1068,N Markakis,5930,2016-05-24,Nick Markakis flied out to center (Fly).
T_Thornburg,1068,M Holliday,1873,2016-07-08,Matt Holliday struck out looking.
T_Thornburg,1068,A Blanco,1907,2016-06-02,Andres Blanco struck out swinging.
T_Thornburg,1068,R Grichuk,1024,2016-07-10,Randal Grichuk struck out looking.
T_Thornburg,1068,M Adams,9393,2016-07-10,Matt Adams struck out swinging.
T_Thornburg,1068,O Arcia,1030,2016-04-19,Oswaldo Arcia struck out swinging.
T_Thornburg,1068,D Murphy,4316,2016-07-05,Daniel Murphy doubled to right (Fly). Daniel Murphy out.
T_Thornburg,1068,Y Alonso,2530,2016-06-22,Yonder Alonso fouled out to shortstop (Fly).
T_Thornburg,1068,T Barnhart,1020,2016-07-17,Tucker Barnhart struck out swinging.
T_Thornburg,1068,R Raburn,2218,2016-08-22,Ryan Raburn struck out swinging.
T_Thornburg,1068,G Polanco,1290,2016-09-22,Gregory Polanco grounded out to pitcher (Grounder).
T_Thornburg,1068,K Bryant,1542,2016-07-23,Kris Bryant fouled out to first (Fly).
T_Thornburg,1068,B Phillips,791&,2016-05-29,Brandon Phillips grounded out to first (Grounder).
T_Thornburg,1068,H Kendrick,4229,2016-06-16,Howie Kendrick grounded out to shortstop (Grounder).
T_Thornburg,1068,M Franco,1217,2016-04-24,Maikel Franco grounded out to pitcher (Grounder).
T_Thornburg,1068,A Diaz,1593,2016-04-13,Aledmys Diaz flied out to right (Fliner (Fly)).
T_Thornburg,1068,S Rodriguez,6589,2016-09-03,Sean Rodriguez flied out to right (Fliner (Liner)).
T_Thornburg,1068,S Schebler,1222,2016-08-14,Scott Schebler struck out looking.
T_Thornburg,1068,A Diaz,1593,2016-07-10,Aledmys Diaz flied out to first (Fly).
T_Thornburg,1068,R Howard,2154,2016-04-24,Ryan Howard struck out looking.
T_Thornburg,1068,A Rizzo,3473,2016-07-23,Anthony Rizzo flied out to center (Fly).
T_Thornburg,1068,Z Cozart,2616,2016-05-27,Zack Cozart flied out to third (Fly).
T_Thornburg,1068,C Blackmon,7859,2016-08-22,Charlie Blackmon struck out swinging.
T_Thornburg,1068,E Suarez,1255,2016-08-14,Eugenio Suarez flied out to center (Fly).
T_Thornburg,1068,C Yelich,1147,2016-04-30,Christian Yelich struck out swinging.
T_Thornburg,1068,G Springer,1285,2016-04-08,George Springer struck out swinging.
T_Thornburg,1068,D Dietrich,1054,2016-04-30,Derek Dietrich struck out swinging.
T_Thornburg,1068,R Zimmerman,4220,2016-07-05,Ryan Zimmerman flied out to center (Fly).
T_Thornburg,1068,J Votto,4314,2016-05-27,Joey Votto grounded out to third (Grounder).
T_Thornburg,1068,C Rupp,1114,2016-04-24,Cameron Rupp struck out looking.
