playername,playerid,vsname,vsid,date,Play
T_Tulowitzki,3531,A Wilson,9239,2016-07-07,Troy Tulowitzki singled to right (Grounder). Josh Donaldson scored. Michael Saunders scored. Russell Martin advanced to 3B.
T_Tulowitzki,3531,S Tolleson,1048,2016-05-14,Troy Tulowitzki homered (Fliner (Fly)).
T_Tulowitzki,3531,S Morimando,1360,2016-07-02,Troy Tulowitzki homered (Fliner (Fly)). Russell Martin scored.
T_Tulowitzki,3531,B Ziegler,7293,2016-10-02,Troy Tulowitzki singled to center (Liner). Edwin Encarnacion scored. Russell Martin advanced to 3B.
T_Tulowitzki,3531,J Weaver,4235,2016-09-16,Troy Tulowitzki homered (Fly). Jose Bautista scored.
T_Tulowitzki,3531,M Wright,1258,2016-04-19,Troy Tulowitzki doubled to left (Fliner (Fly)). Michael Saunders scored. Jose Bautista scored.
T_Tulowitzki,3531,J Holder,1658,2016-09-26,Troy Tulowitzki doubled to center (Fliner (Fly)). Jose Bautista scored. Russell Martin advanced to 3B.
T_Tulowitzki,3531,C Tillman,5279,2016-06-19,Troy Tulowitzki homered (Fliner (Fly)). Russell Martin scored.
T_Tulowitzki,3531,S Manaea,1587,2016-07-17,Troy Tulowitzki homered (Fly). Russell Martin scored.
T_Tulowitzki,3531,M Cain,4732,2016-05-10,Troy Tulowitzki homered (Fly).
T_Tulowitzki,3531,K Gausman,1410,2016-07-29,Troy Tulowitzki homered (Fly).
T_Tulowitzki,3531,T Bauer,1270,2016-07-01,Troy Tulowitzki advanced on a passed ball to 2B. Passed ball by Chris Gimenez.
T_Tulowitzki,3531,P Corbin,9323,2016-07-20,Troy Tulowitzki doubled to left (Fliner (Liner)). Josh Donaldson scored. Russell Martin advanced to 3B.
T_Tulowitzki,3531,P Hughes,7450,2016-05-22,Troy Tulowitzki doubled to left (Fliner (Fly)). Michael Saunders scored.
T_Tulowitzki,3531,E Volquez,3990,2016-07-04,Troy Tulowitzki singled to center (Liner). Russell Martin advanced to 2B.
T_Tulowitzki,3531,M Gonzalez,7024,2016-06-25,Troy Tulowitzki doubled to left (Grounder). Michael Saunders scored.
T_Tulowitzki,3531,R Webb,7474,2016-04-03,Troy Tulowitzki homered (Fliner (Fly)). Edwin Encarnacion scored.
T_Tulowitzki,3531,J Paxton,1182,2016-07-22,Troy Tulowitzki singled to right (Fliner (Liner)).
T_Tulowitzki,3531,Z Godley,1486,2016-06-22,Troy Tulowitzki homered (Fly).
T_Tulowitzki,3531,T Bauer,1270,2016-07-01,Troy Tulowitzki singled to shortstop (Grounder).
T_Tulowitzki,3531,S Cishek,6483,2016-07-22,Troy Tulowitzki singled to left (Grounder). Edwin Encarnacion advanced to 2B.
T_Tulowitzki,3531,C Young,3196,2016-07-05,Troy Tulowitzki homered (Fliner (Fly)). Edwin Encarnacion scored. Michael Saunders scored.
T_Tulowitzki,3531,S Gray,1276,2016-07-16,Troy Tulowitzki doubled to left (Grounder).
T_Tulowitzki,3531,C Ramos,3357,2016-05-15,Troy Tulowitzki singled to right (Grounder). Justin Smoak advanced to 2B.
T_Tulowitzki,3531,D Mengden,1698,2016-07-15,Justin Smoak advanced on a wild pitch to 2B.
T_Tulowitzki,3531,A Swarzak,7466,2016-08-16,Troy Tulowitzki homered (Fly). Josh Donaldson scored.
T_Tulowitzki,3531,C Lewis,1259,2016-05-14,Troy Tulowitzki doubled to third (Grounder).
T_Tulowitzki,3531,A Faulkner,1298,2016-05-15,Troy Tulowitzki singled to center (Grounder).
T_Tulowitzki,3531,K Jepsen,6475,2016-09-13,Troy Tulowitzki singled to center (Grounder).
T_Tulowitzki,3531,A Warren,9029,2016-08-16,Troy Tulowitzki singled to left (Fliner (Liner)).
T_Tulowitzki,3531,W Miley,8779,2016-08-29,Troy Tulowitzki singled to left (Grounder). Edwin Encarnacion scored. Russell Martin out at third. Troy Tulowitzki
T_Tulowitzki,3531,T Walker,1183,2016-09-19,Troy Tulowitzki doubled to left (Fly).
T_Tulowitzki,3531,T Wilhelmsen,9975,2016-05-15,Troy Tulowitzki doubled to center (Fliner (Liner)).
T_Tulowitzki,3531,D Mengden,1698,2016-07-15,Troy Tulowitzki singled to center (Grounder).
T_Tulowitzki,3531,D Law,1313,2016-05-10,Troy Tulowitzki doubled to left (Fliner (Fly)). Ezequiel Carrera scored.
T_Tulowitzki,3531,M Cain,4732,2016-05-10,Troy Tulowitzki hit a sacrifice fly to center (Fly). Michael Saunders scored.
T_Tulowitzki,3531,P Dean,1135,2016-08-26,Troy Tulowitzki singled to left (Liner).
T_Tulowitzki,3531,C Archer,6345,2016-09-04,Troy Tulowitzki singled to right (Grounder).
T_Tulowitzki,3531,B Snell,1354,2016-08-10,Troy Tulowitzki walked. Josh Donaldson scored. Edwin Encarnacion advanced to 3B. Russell Martin advanced to 2B.
T_Tulowitzki,3531,R Porcello,2717,2016-04-15,Troy Tulowitzki was hit by a pitch.
T_Tulowitzki,3531,Y Ventura,1185,2016-08-07,Troy Tulowitzki walked.
T_Tulowitzki,3531,C Kimbrel,6655,2016-09-30,Troy Tulowitzki walked.
T_Tulowitzki,3531,A Sanchez,3284,2016-07-10,Troy Tulowitzki singled to left (Liner).
T_Tulowitzki,3531,C Green,1555,2016-08-15,Troy Tulowitzki singled to left (Fliner (Liner)).
T_Tulowitzki,3531,R Porcello,2717,2016-04-09,Troy Tulowitzki singled to center (Fliner (Fly)).
T_Tulowitzki,3531,D Otero,7385,2016-07-02,Troy Tulowitzki reached on error to third (Grounder). Michael Saunders advanced to 2B on error. Error by Jose Ramirez.
T_Tulowitzki,3531,A Warren,9029,2016-09-06,Troy Tulowitzki singled to center (Grounder).
T_Tulowitzki,3531,H Iwakuma,1304,2016-09-20,Troy Tulowitzki singled to left (Liner).
T_Tulowitzki,3531,M Pelfrey,5203,2016-07-08,Troy Tulowitzki singled to left (Grounder).
