playername,playerid,vsname,vsid,date,Play
T_White,1556,Z Neal,1129,2016-09-19,Tyler White doubled to left (Liner). Teoscar Hernandez scored.
T_White,1556,C Rodon,1613,2016-05-17,Tyler White homered (Fliner (Fly)).
T_White,1556,S Doolittle,1581,2016-04-29,Tyler White singled to left (Grounder). Carlos Correa scored. Evan Gattis advanced to 2B.
T_White,1556,H Hembree,1163,2016-05-15,Tyler White singled to right (Fliner (Liner)). Colby Rasmus scored.
T_White,1556,Z Putnam,9080,2016-05-17,Tyler White doubled to left (Grounder).
T_White,1556,C Rodon,1613,2016-05-17,Tyler White homered (Fliner (Fly)).
T_White,1556,H Iwakuma,1304,2016-05-08,Tyler White hit a ground rule double (Liner). Luis Valbuena scored.
T_White,1556,K Medlen,9417,2016-04-12,Tyler White singled to right (Grounder). Colby Rasmus scored.
T_White,1556,J Verlander,8700,2016-04-16,Tyler White homered (Fliner (Fly)).
T_White,1556,J Diekman,5003,2016-09-02,Tyler White doubled to left (Fly). Yulieski Gurriel scored. Teoscar Hernandez scored.
T_White,1556,N Tropeano,1238,2016-05-29,Tyler White walked. Evan Gattis advanced to 3B. Luis Valbuena advanced to 2B.
T_White,1556,H Hembree,1163,2016-04-24,Tyler White reached on error to third (Grounder). Error by Travis Shaw.
T_White,1556,B Oberholtzer,3855,2016-09-25,Tyler White homered (Fliner (Fly)).
T_White,1556,N Tropeano,1238,2016-05-29,Tyler White walked.
T_White,1556,M Pelfrey,5203,2016-04-15,Tyler White walked. Carlos Correa advanced to 3B. Colby Rasmus advanced to 2B.
T_White,1556,M Pelfrey,5203,2016-04-15,Tyler White walked. Colby Rasmus advanced to 2B.
T_White,1556,A Miller,6785,2016-04-07,Tyler White singled to right (Liner). Carlos Gomez advanced to 2B.
T_White,1556,W Peralta,7738,2016-04-09,Tyler White homered (Fly).
T_White,1556,H Iwakuma,1304,2016-05-08,Tyler White doubled to left (Liner).
T_White,1556,J Nelson,1054,2016-04-10,Tyler White walked.
T_White,1556,S O'Sullivan,9137,2016-05-15,Tyler White walked.
T_White,1556,Y Ventura,1185,2016-04-13,Tyler White singled to left (Liner). Colby Rasmus advanced to 2B.
T_White,1556,J Ramirez,8302,2016-09-22,Tyler White doubled to left (Fliner (Fly)).
T_White,1556,M Stroman,1343,2016-08-01,Tyler White singled to pitcher (Grounder). Tyler White advanced to 2B on error. Error by Marcus Stroman.
T_White,1556,C Anderson,6895,2016-04-08,Tyler White singled to shortstop (Grounder).
T_White,1556,T Skaggs,1019,2016-10-01,Tyler White walked.
T_White,1556,T Wilson,1269,2016-05-25,Tyler White singled to left (Grounder).
T_White,1556,A Claudio,1289,2016-09-14,Tyler White singled to third (Grounder).
T_White,1556,R Ross Jr.,6819,2016-05-15,Tyler White walked.
T_White,1556,A Achter,1138,2016-10-01,Tyler White walked. Evan Gattis advanced to 2B.
T_White,1556,M Boyd,1544,2016-07-29,Tyler White walked.
T_White,1556,T Layne,7501,2016-05-14,Tyler White was intentionally walked.
T_White,1556,I Nova,1994,2016-04-06,Tyler White singled to center (Fliner (Liner)).
T_White,1556,S Freeman,6832,2016-04-08,Tyler White homered (Fly). Carlos Correa scored. Carlos Gomez scored.
T_White,1556,N Karns,1263,2016-04-26,Tyler White singled to center (Liner).
T_White,1556,W Peralta,7738,2016-04-09,Tyler White walked.
T_White,1556,R Delgado,5985,2016-05-30,Tyler White singled to left (Liner). Carlos Correa advanced to 2B.
T_White,1556,K Jepsen,6475,2016-05-02,Tyler White walked.
T_White,1556,B Rondon,5766,2016-07-31,Tyler White singled to left (Grounder).
T_White,1556,J Barbato,1144,2016-04-05,Tyler White was hit by a pitch.
T_White,1556,Z Curtis,1668,2016-05-30,Tyler White was hit by a pitch.
T_White,1556,A Albers,7853,2016-08-11,Tyler White doubled to center (Fliner (Liner)).
T_White,1556,D Alvarez,1423,2016-09-03,Tyler White hit a ground rule double (Fliner (Fly)).
T_White,1556,T Ladendorf,3211,2016-06-03,Tyler White flied out to second (Fly).
T_White,1556,M Montgomery,4869,2016-04-26,Tyler White flied out to left (Fly).
T_White,1556,F Rodriguez,7558,2016-06-03,Tyler White flied out to first (Fly).
T_White,1556,J Chargois,1376,2016-08-11,Tyler White flied out to left (Fliner (Liner)).
T_White,1556,A Triggs,1353,2016-06-03,Tyler White grounded out to second (Grounder).
T_White,1556,D Molleken,6200,2016-07-29,Tyler White grounded out to shortstop (Grounder).
T_White,1556,T Barnette,3555,2016-08-05,Tyler White flied out to right (Fly).
T_White,1556,J Collmenter,7312,2016-05-30,Tyler White grounded into a double play to second (Grounder). Colby Rasmus out at second.
T_White,1556,A Bailey,1368,2016-10-02,Tyler White flied out to right (Fliner (Fly)).
T_White,1556,D Holland,4141,2016-09-14,Tyler White grounded out to third (Grounder). Alex Bregman advanced to 3B.
T_White,1556,A Triggs,1353,2016-06-03,Tyler White flied out to left (Fly).
T_White,1556,N Martinez,1273,2016-09-04,Tyler White grounded out to shortstop (Grounder).
T_White,1556,T Sturdevant,6780,2016-06-11,Tyler White flied out to center (Fliner (Fly)).
T_White,1556,M Rzepczynski,6612,2016-04-29,Tyler White grounded out to shortstop (Grounder).
T_White,1556,B Farmer,1481,2016-04-15,Tyler White struck out looking.
T_White,1556,M Pelfrey,5203,2016-07-31,Tyler White reached on fielder's choice to shortstop (Grounder). Evan Gattis out at second.
T_White,1556,J Diekman,5003,2016-04-21,Tyler White flied out to center (Fly).
T_White,1556,C Young,3196,2016-04-11,Tyler White flied out to center (Fly).
T_White,1556,T Barnette,3555,2016-09-04,Tyler White grounded out to third (Grounder).
T_White,1556,S Wright,8185,2016-04-22,Tyler White struck out swinging.
T_White,1556,W Miley,8779,2016-05-05,Tyler White grounded out to second (Grounder).
T_White,1556,K Ryan,1175,2016-04-17,Tyler White flied out to right (Fly).
T_White,1556,C Rasmus,2413,2016-10-01,Tyler White struck out looking.
T_White,1556,T Milone,7608,2016-08-11,Tyler White grounded out to shortstop (Grounder).
T_White,1556,K Gausman,1410,2016-05-26,Tyler White grounded out to third (Grounder).
T_White,1556,J Hahn,1328,2016-04-30,Tyler White grounded out to third (Grounder).
T_White,1556,C Hamels,4972,2016-05-22,Tyler White grounded out to shortstop (Grounder).
T_White,1556,R Hill,4806,2016-05-01,Tyler White struck out looking.
T_White,1556,P Corbin,9323,2016-05-31,Tyler White flied out to right (Fly).
T_White,1556,C Ramos,3357,2016-05-21,Tyler White grounded out to shortstop (Grounder).
T_White,1556,J Hahn,1328,2016-04-30,Tyler White grounded out to shortstop (Grounder).
T_White,1556,M Guaipe,1166,2016-05-08,Tyler White flied out to second (Fly).
T_White,1556,R Osuna,1376,2016-08-01,Tyler White grounded out to second (Grounder). Jake Marisnick advanced to 2B.
T_White,1556,F Liriano,3201,2016-08-12,Tyler White struck out swinging.
