playername,playerid,vsname,vsid,date,Play
T_Wilhelmsen,9975,J Iglesias,1023,2016-08-09,Jose Iglesias struck out swinging.
T_Wilhelmsen,9975,M Cabrera,1744,2016-08-09,Miguel Cabrera flied out to right (Fly).
T_Wilhelmsen,9975,M Trout,1015,2016-08-15,Mike Trout flied out to left (Fly).
T_Wilhelmsen,9975,J Schoop,1126,2016-04-14,Jonathan Schoop grounded into a double play to shortstop (Grounder). J.J. Hardy out at second.
T_Wilhelmsen,9975,A McCutchen,9847,2016-07-26,Andrew McCutchen struck out swinging.
T_Wilhelmsen,9975,J Saltalamacchia,5557,2016-08-09,Jarrod Saltalamacchia struck out swinging.
T_Wilhelmsen,9975,S Marte,9241,2016-07-26,Starling Marte struck out swinging.
T_Wilhelmsen,9975,J Giavotella,6740,2016-08-07,Johnny Giavotella grounded out to shortstop (Grounder).
T_Wilhelmsen,9975,C Carter,9911,2016-08-19,Chris Carter was caught stealing.
T_Wilhelmsen,9975,A Pujols,1177,2016-08-15,Albert Pujols grounded out to shortstop (Grounder).
T_Wilhelmsen,9975,J Castro,8722,2016-06-08,Jason Castro struck out looking.
T_Wilhelmsen,9975,J Iglesias,1023,2016-06-23,Jose Iglesias flied out to second (Fly).
T_Wilhelmsen,9975,I Kinsler,6195,2016-06-23,Ian Kinsler grounded out to third (Grounder).
T_Wilhelmsen,9975,J Bandy,1250,2016-08-07,Jett Bandy fouled out to first (Fly).
T_Wilhelmsen,9975,B Butler,7399,2016-08-13,Billy Butler grounded out to first (Grounder).
T_Wilhelmsen,9975,R Martin,4616,2016-05-15,Russell Martin reached on fielder's choice to third (Grounder). Troy Tulowitzki advanced to 3B. Michael Saunders out at second.
T_Wilhelmsen,9975,C Colon,1114,2016-07-09,Christian Colon reached on fielder's choice to third (Grounder). Alcides Escobar out at third. Cheslor Cuthbert advanced to 2B.
T_Wilhelmsen,9975,J Bautista,1887,2016-05-03,Jose Bautista struck out swinging.
T_Wilhelmsen,9975,T Frazier,785&,2016-04-23,Todd Frazier flied out to right (Fliner (Fly)).
T_Wilhelmsen,9975,R Braun,3410,2016-08-21,Ryan Braun struck out swinging.
T_Wilhelmsen,9975,A Simmons,1084,2016-05-01,Andrelton Simmons grounded out to first (Grounder).
T_Wilhelmsen,9975,A Simmons,1084,2016-08-06,Andrelton Simmons grounded out to shortstop (Grounder).
T_Wilhelmsen,9975,J Saltalamacchia,5557,2016-06-23,Jarrod Saltalamacchia flied out to left (Fly).
T_Wilhelmsen,9975,J Smolinski,5408,2016-08-13,Jake Smolinski struck out swinging.
T_Wilhelmsen,9975,K Bryant,1542,2016-07-31,Kris Bryant struck out swinging.
T_Wilhelmsen,9975,K Calhoun,1120,2016-05-01,Kole Calhoun flied out to center (Fly).
T_Wilhelmsen,9975,Y Escobar,4191,2016-04-08,Yunel Escobar flied out to left (Fliner (Liner)).
T_Wilhelmsen,9975,C Joseph,7087,2016-04-15,Caleb Joseph flied out to center (Fly).
T_Wilhelmsen,9975,A Rizzo,3473,2016-07-31,Anthony Rizzo flied out to center (Fly). Dexter Fowler advanced to 3B.
T_Wilhelmsen,9975,D Navarro,3179,2016-07-19,Dioner Navarro flied out to left (Fly).
T_Wilhelmsen,9975,K Morales,8610,2016-07-09,Kendrys Morales grounded out to second (Grounder).
T_Wilhelmsen,9975,A Pujols,1177,2016-04-07,Albert Pujols flied out to left (Fly).
T_Wilhelmsen,9975,C Correa,1416,2016-07-04,Carlos Correa fouled out to third (Fly).
T_Wilhelmsen,9975,M Cabrera,1744,2016-05-07,Miguel Cabrera grounded out to third (Grounder).
T_Wilhelmsen,9975,J Bautista,1887,2016-05-13,Jose Bautista flied out to second (Fly).
T_Wilhelmsen,9975,L Schafer,7937,2016-09-24,Logan Schafer struck out looking.
T_Wilhelmsen,9975,M Gonzalez,5497,2016-07-17,Marwin Gonzalez grounded into a double play to shortstop (Grounder). George Springer out at second.
T_Wilhelmsen,9975,M Gonzalez,5497,2016-07-04,Marwin Gonzalez flied out to left (Fly).
T_Wilhelmsen,9975,D Santana,1034,2016-08-19,Domingo Santana grounded out to second (Grounder).
T_Wilhelmsen,9975,G Springer,1285,2016-07-15,George Springer struck out swinging.
T_Wilhelmsen,9975,J Iglesias,1023,2016-05-08,Jose Iglesias flied out to right (Fly).
T_Wilhelmsen,9975,B Buxton,1416,2016-09-24,Byron Buxton grounded out to third (Grounder).
T_Wilhelmsen,9975,R Cano,3269,2016-06-10,Robinson Cano grounded out to second (Grounder).
T_Wilhelmsen,9975,L Martin,1184,2016-06-10,Leonys Martin flied out to left (Fly).
T_Wilhelmsen,9975,A Romine,5491,2016-04-25,Austin Romine flied out to center (Fly).
T_Wilhelmsen,9975,E Carrera,9048,2016-07-24,Ezequiel Carrera struck out looking.
T_Wilhelmsen,9975,B Dozier,9810,2016-09-24,Brian Dozier flied out to left (Fliner (Fly)).
T_Wilhelmsen,9975,A Simmons,1084,2016-04-30,Andrelton Simmons grounded out to pitcher (Grounder).
T_Wilhelmsen,9975,C Rasmus,9893,2016-09-18,Colby Rasmus reached on fielder's choice to first (Grounder). Jason Castro out at second.
T_Wilhelmsen,9975,J Ellsbury,4727,2016-04-25,Jacoby Ellsbury struck out swinging.
T_Wilhelmsen,9975,C Cron,1254,2016-04-30,C.J. Cron reached on fielder's choice to pitcher (Grounder). Kole Calhoun out at home.
T_Wilhelmsen,9975,D Travis,1386,2016-07-24,Devon Travis struck out looking.
T_Wilhelmsen,9975,B Gardner,9927,2016-04-25,Brett Gardner grounded out to second (Grounder).
T_Wilhelmsen,9975,D Lee,1872,2016-06-10,Dae-Ho Lee struck out looking.
T_Wilhelmsen,9975,J Altuve,5417,2016-07-15,Jose Altuve flied out to center (Fly).
T_Wilhelmsen,9975,R Cano,3269,2016-06-04,Robinson Cano grounded out to first (Grounder). Seth Smith advanced to 3B.
T_Wilhelmsen,9975,K Pillar,1243,2016-05-15,Kevin Pillar reached on fielder's choice to shortstop (Grounder). Troy Tulowitzki scored. Russell Martin advanced to 3B. Darwin Barney out at second.
T_Wilhelmsen,9975,T Hernandez,1306,2016-09-28,Teoscar Hernandez flied out to left (Fly). Yulieski Gurriel advanced to 3B.
T_Wilhelmsen,9975,M Gonzalez,5497,2016-09-28,Marwin Gonzalez flied out to center (Fliner (Liner)).
T_Wilhelmsen,9975,T Kemp,1489,2016-09-28,Tony Kemp grounded out to second (Grounder).
T_Wilhelmsen,9975,Y Alonso,2530,2016-06-13,Yonder Alonso grounded out to second (Grounder).
T_Wilhelmsen,9975,B Eibner,1136,2016-09-10,Brett Eibner struck out swinging.
T_Wilhelmsen,9975,D Valencia,6364,2016-06-13,Danny Valencia reached on fielder's choice to third (Grounder). Coco Crisp advanced to 3B. Marcus Semien out at second.
T_Wilhelmsen,9975,J Smolinski,5408,2016-06-13,Jake Smolinski singled to left (Grounder). Danny Valencia scored. Khris Davis scored. Billy Butler advanced to 2B.
T_Wilhelmsen,9975,W Contreras,1160,2016-07-29,Willson Contreras flied out to right (Fly).
T_Wilhelmsen,9975,R Healy,1544,2016-09-10,Ryon Healy homered (Fly). Max Muncy scored.
T_Wilhelmsen,9975,K Bryant,1542,2016-07-29,Kris Bryant walked. Matt Szczur advanced to 3B. Chris Coghlan advanced to 2B.
T_Wilhelmsen,9975,J Smolinski,5408,2016-06-13,Jake Smolinski singled to right (Grounder).
T_Wilhelmsen,9975,B Butler,7399,2016-06-13,Billy Butler singled to center (Fliner (Liner)). Danny Valencia advanced to 3B. Khris Davis advanced to 2B.
T_Wilhelmsen,9975,K Davis,9112,2016-06-13,Khris Davis singled to shortstop (Grounder). Coco Crisp scored. Danny Valencia advanced to 2B.
T_Wilhelmsen,9975,M Semien,1253,2016-06-13,Marcus Semien singled to right (Grounder). Tyler Ladendorf scored. Coco Crisp advanced to 2B.
T_Wilhelmsen,9975,Y Gurriel,1919,2016-09-28,Yulieski Gurriel doubled to left (Fliner (Liner)).
T_Wilhelmsen,9975,S Smith,7331,2016-06-04,Seth Smith walked.
T_Wilhelmsen,9975,C Iannetta,8267,2016-06-10,Chris Iannetta reached on error to second (Fly). Error by Rougned Odor.
T_Wilhelmsen,9975,G Springer,1285,2016-09-18,George Springer walked. Colby Rasmus advanced to 2B.
T_Wilhelmsen,9975,J Castro,8722,2016-09-18,Jason Castro singled to left (Grounder).
T_Wilhelmsen,9975,D Fowler,4062,2016-07-31,Dexter Fowler advanced on a stolen base to 2B.
T_Wilhelmsen,9975,K Calhoun,1120,2016-04-30,Kole Calhoun tripled to left (Fliner (Liner)).
T_Wilhelmsen,9975,K Calhoun,1120,2016-04-07,Kole Calhoun singled to center (Fliner (Fly)).
T_Wilhelmsen,9975,J Altuve,5417,2016-07-04,Jose Altuve singled to pitcher (Grounder).
T_Wilhelmsen,9975,R Martin,4616,2016-05-15,Russell Martin walked. Michael Saunders advanced to 2B.
T_Wilhelmsen,9975,B Butler,7399,2016-06-13,Billy Butler singled to center (Grounder). Danny Valencia scored. Khris Davis advanced to 2B.
T_Wilhelmsen,9975,J Phegley,9308,2016-06-13,Josh Phegley homered (Fliner (Fly)). Khris Davis scored. Billy Butler scored.
T_Wilhelmsen,9975,Y Gurriel,1919,2016-09-18,Yulieski Gurriel doubled to left (Grounder). Colby Rasmus scored. George Springer advanced to 3B.
T_Wilhelmsen,9975,Y Escobar,4191,2016-05-01,Yunel Escobar hit a sacrifice fly to center (Fliner (Fly)). Shane Robinson scored.
T_Wilhelmsen,9975,M Machado,1149,2016-04-15,Manny Machado doubled to center (Fliner (Fly)).
T_Wilhelmsen,9975,C Pennington,3395,2016-04-08,Cliff Pennington walked.
T_Wilhelmsen,9975,A Simmons,1084,2016-04-07,Andrelton Simmons doubled to left (Fliner (Liner)). Kole Calhoun advanced to 3B.
T_Wilhelmsen,9975,J Choi,5452,2016-04-08,Ji-Man Choi walked. Kole Calhoun advanced to 3B. Andrelton Simmons advanced to 2B.
T_Wilhelmsen,9975,J Choi,5452,2016-08-07,Ji-Man Choi walked. Andrelton Simmons advanced to 2B.
T_Wilhelmsen,9975,N Buss,6835,2016-08-15,Kole Calhoun advanced on a passed ball to 2B. Passed ball by Mike Zunino.
T_Wilhelmsen,9975,N Buss,6835,2016-08-17,Nick Buss singled to center (Fliner (Liner)). Andrelton Simmons advanced to 2B.
T_Wilhelmsen,9975,M Saunders,9981,2016-05-15,Michael Saunders singled to right (Fliner (Liner)). Troy Tulowitzki advanced to 3B.
T_Wilhelmsen,9975,T Tulowitzki,3531,2016-05-15,Troy Tulowitzki doubled to center (Fliner (Liner)).
