playername,playerid,vsname,vsid,date,Play
T_Wilson,1269,C Rasmus,9893,2016-05-25,Colby Rasmus grounded into a double play to second (Grounder). Carlos Correa out at second.
T_Wilson,1269,L Morrison,9205,2016-06-26,Logan Morrison grounded into a double play to second (Grounder). Evan Longoria out at second.
T_Wilson,1269,A Ramirez,5133,2016-06-21,Alexei Ramirez grounded into a double play to shortstop (Grounder). Christian Bethancourt out at second.
T_Wilson,1269,R Hanigan,4952,2016-05-30,Ryan Hanigan flied out to shortstop (Fly).
T_Wilson,1269,D Norris,6867,2016-06-21,Derek Norris grounded out to second (Grounder).
T_Wilson,1269,B McCann,4810,2016-05-04,Brian McCann grounded into a double play to shortstop (Grounder). Mark Teixeira out at second.
T_Wilson,1269,D Ortiz,745&,2016-05-30,David Ortiz grounded out to catcher (Grounder).
T_Wilson,1269,T Beckham,7949,2016-06-26,Tim Beckham grounded out to third (Grounder).
T_Wilson,1269,J Bradley Jr.,1298,2016-05-30,Jackie Bradley Jr. grounded out to second (Grounder).
T_Wilson,1269,E Longoria,9368,2016-06-26,Evan Longoria fouled out to third (Fly).
T_Wilson,1269,L Martin,1184,2016-05-19,Leonys Martin flied out to center (Fly).
T_Wilson,1269,T Jankowski,1376,2016-06-21,Travis Jankowski lined out to shortstop (Liner).
T_Wilson,1269,B Gardner,9927,2016-05-04,Brett Gardner struck out looking.
T_Wilson,1269,B Buxton,1416,2016-04-04,Byron Buxton struck out swinging.
T_Wilson,1269,E Escobar,6153,2016-04-04,Eduardo Escobar lined out to shortstop (Liner).
T_Wilson,1269,C Headley,4720,2016-06-04,Chase Headley grounded out to second (Grounder).
T_Wilson,1269,C Headley,4720,2016-05-04,Chase Headley struck out swinging.
T_Wilson,1269,W Myers,1004,2016-06-21,Wil Myers flied out to right (Fly).
T_Wilson,1269,E Gattis,1100,2016-05-25,Evan Gattis struck out swinging.
T_Wilson,1269,Y Solarte,5352,2016-06-21,Yangervis Solarte struck out swinging.
T_Wilson,1269,K Suzuki,8259,2016-04-04,Kurt Suzuki lined out to third (Liner).
T_Wilson,1269,D Travis,1386,2016-06-09,Devon Travis flied out to right (Fliner (Fly)).
T_Wilson,1269,S Castro,4579,2016-05-04,Starlin Castro struck out swinging.
T_Wilson,1269,A Hicks,5297,2016-05-04,Aaron Hicks grounded out to second (Grounder).
T_Wilson,1269,A Garcia,5760,2016-04-28,Avisail Garcia grounded out to shortstop (Grounder).
T_Wilson,1269,D Ortiz,745&,2016-05-30,David Ortiz fouled out to right (Fly).
T_Wilson,1269,J Mauer,1857,2016-04-04,Joe Mauer grounded out to shortstop (Grounder).
T_Wilson,1269,K Seager,9785,2016-05-19,Kyle Seager grounded out to second (Grounder).
T_Wilson,1269,J Dyson,4866,2016-04-23,Jarrod Dyson grounded out to catcher (Grounder).
T_Wilson,1269,J Mauer,1857,2016-05-11,Joe Mauer flied out to left (Fliner (Liner)).
T_Wilson,1269,D Barney,2430,2016-06-09,Darwin Barney flied out to center (Fliner (Fly)).
T_Wilson,1269,H Conger,2505,2016-06-26,Hank Conger flied out to right (Fly).
T_Wilson,1269,H Conger,2505,2016-06-26,Hank Conger struck out looking.
T_Wilson,1269,M Betts,1361,2016-05-30,Mookie Betts grounded out to third (Grounder).
T_Wilson,1269,S Smith,7331,2016-05-19,Seth Smith struck out swinging.
T_Wilson,1269,C Correa,1416,2016-05-25,Carlos Correa grounded out to pitcher (Grounder).
T_Wilson,1269,B Park,1849,2016-05-11,Byung-ho Park struck out swinging.
T_Wilson,1269,E Encarnacion,2151,2016-04-19,Edwin Encarnacion struck out swinging.
T_Wilson,1269,N Aoki,1307,2016-05-19,Nori Aoki grounded out to first (Grounder). Ketel Marte advanced to 2B.
T_Wilson,1269,D Ortiz,745&,2016-06-16,David Ortiz grounded out to second (Grounder).
T_Wilson,1269,B McCann,4810,2016-05-04,Brian McCann grounded out to third (Grounder).
T_Wilson,1269,T White,1556,2016-05-25,Tyler White flied out to center (Fly).
T_Wilson,1269,B Gardner,9927,2016-06-04,Brett Gardner grounded out to second (Grounder).
T_Wilson,1269,T Frazier,785&,2016-04-28,Todd Frazier flied out to shortstop (Fly).
T_Wilson,1269,J Centeno,7168,2016-05-11,Juan Centeno grounded out to second (Grounder). Eddie Rosario advanced to 3B.
T_Wilson,1269,M Teixeira,1281,2016-05-04,Mark Teixeira reached on fielder's choice to shortstop (Grounder). Carlos Beltran out at second.
T_Wilson,1269,J Ellsbury,4727,2016-06-04,Jacoby Ellsbury flied out to center (Fly).
T_Wilson,1269,A Eaton,1120,2016-04-28,Adam Eaton grounded out to second (Grounder).
T_Wilson,1269,W Myers,1004,2016-06-21,Wil Myers grounded out to third (Grounder).
T_Wilson,1269,A Hicks,5297,2016-05-04,Aaron Hicks grounded out to second (Grounder).
T_Wilson,1269,N Aoki,1307,2016-05-19,Nori Aoki flied out to left (Fly).
