playername,playerid,vsname,vsid,date,Play
T_Zych,1287,F Lindor,1291,2016-04-21,Francisco Lindor was caught stealing.
T_Zych,1287,J Kipnis,9776,2016-04-21,Jason Kipnis struck out swinging.
T_Zych,1287,Y Gomes,9627,2016-04-19,Yan Gomes grounded out to shortstop (Grounder).
T_Zych,1287,A Pujols,1177,2016-04-23,Albert Pujols struck out swinging.
T_Zych,1287,C Santana,2396,2016-04-19,Carlos Santana flied out to center (Fly). Francisco Lindor advanced to 3B. Mike Napoli advanced to 2B.
T_Zych,1287,Y Escobar,4191,2016-04-23,Yunel Escobar struck out swinging.
T_Zych,1287,K Davis,9112,2016-04-09,Khris Davis struck out swinging.
T_Zych,1287,Y Alonso,2530,2016-04-09,Yonder Alonso reached on fielder's choice to first (Grounder). Jed Lowrie out at second.
T_Zych,1287,M Byrd,950&,2016-04-19,Marlon Byrd flied out to right (Fly).
T_Zych,1287,O Infante,1609,2016-05-01,Omar Infante struck out swinging.
T_Zych,1287,C Crisp,1572,2016-04-09,Coco Crisp struck out swinging.
T_Zych,1287,C Cowgill,7250,2016-04-19,Collin Cowgill struck out looking.
T_Zych,1287,M Teixeira,1281,2016-08-24,Mark Teixeira struck out looking.
T_Zych,1287,R Odor,1228,2016-04-05,Rougned Odor flied out to center (Fly).
T_Zych,1287,P Fielder,4613,2016-04-12,Prince Fielder struck out swinging.
T_Zych,1287,E Andrus,8709,2016-04-05,Elvis Andrus struck out looking.
T_Zych,1287,S Choo,3174,2016-04-05,Shin-Soo Choo struck out looking.
T_Zych,1287,I Desmond,6885,2016-04-11,Ian Desmond struck out swinging.
T_Zych,1287,R Chirinos,3142,2016-04-05,Robinson Chirinos struck out swinging.
T_Zych,1287,I Desmond,6885,2016-04-12,Ian Desmond grounded out to third (Grounder).
T_Zych,1287,J Castro,8722,2016-04-26,Jason Castro walked.
T_Zych,1287,J Altuve,5417,2016-04-26,Jose Altuve walked. Jason Castro advanced to 2B.
T_Zych,1287,B Gardner,9927,2016-08-24,Brett Gardner walked.
T_Zych,1287,S Castro,4579,2016-08-24,Starlin Castro hit a sacrifice fly to left (Fly). Brett Gardner scored. Didi Gregorius advanced to 3B. Gary Sanchez advanced to 2B.
T_Zych,1287,G Springer,1285,2016-04-26,George Springer singled to center (Fliner (Liner)). Jason Castro scored. Jose Altuve advanced to 3B on error. George Springer advanced to 2B. Error by Nori Aoki.
T_Zych,1287,M Trout,1015,2016-04-23,Mike Trout was intentionally walked.
T_Zych,1287,A Beltre,639&,2016-04-12,Adrian Beltre doubled to center (Fliner (Fly)). Bryan Holaday scored. Delino DeShields scored.
T_Zych,1287,S Castro,4579,2016-08-23,Starlin Castro singled to left (Grounder). Gary Sanchez advanced to 2B.
T_Zych,1287,B Gardner,9927,2016-04-15,Brett Gardner walked.
T_Zych,1287,F Lindor,1291,2016-04-21,Francisco Lindor walked.
T_Zych,1287,C Headley,4720,2016-04-15,Chase Headley walked.
