playername,playerid,vsname,vsid,date,Play
V_Campos,1168,R Cabrera,1032,2016-08-27,Ramon Cabrera flied out to shortstop (Fly).
V_Campos,1168,R Cabrera,1032,2016-08-27,Ramon Cabrera lined out to second (Liner).
V_Campos,1168,J Votto,4314,2016-08-27,Joey Votto grounded out to third (Grounder).
V_Campos,1168,A Duvall,1095,2016-08-27,Adam Duvall grounded out to third (Grounder).
V_Campos,1168,S Schebler,1222,2016-08-27,Scott Schebler flied out to center (Fly).
V_Campos,1168,E Suarez,1255,2016-08-27,Eugenio Suarez flied out to right (Fly).
V_Campos,1168,R Cabrera,1032,2016-08-27,Ramon Cabrera flied out to left (Fliner (Fly)).
V_Campos,1168,Z Cozart,2616,2016-08-27,Zack Cozart flied out to left (Fliner (Liner)).
V_Campos,1168,I De Jesus,9886,2016-08-27,Ivan De Jesus flied out to right (Fliner (Fly)).
V_Campos,1168,Z Cozart,2616,2016-08-27,Zack Cozart walked.
V_Campos,1168,E Suarez,1255,2016-08-27,Eugenio Suarez reached on error to left (Fliner (Liner)). Brandon Phillips scored on error. Scott Schebler advanced to 3B on error. Error by Michael Bourn.
V_Campos,1168,S Schebler,1222,2016-08-27,Scott Schebler singled to right (Grounder). Brandon Phillips advanced to 2B.
