playername,playerid,vsname,vsid,date,Play
V_Velasquez,1118,D Freese,9549,2016-07-24,David Freese grounded out to third (Grounder). Gregory Polanco out at second.
V_Velasquez,1118,J Iglesias,1023,2016-05-23,Jose Iglesias grounded out to shortstop (Grounder).
V_Velasquez,1118,M Bourn,6387,2016-06-27,Michael Bourn flied out to center (Fliner (Liner)). Jean Segura out at second.
V_Velasquez,1118,I Kinsler,6195,2016-05-23,Ian Kinsler flied out to center (Fly).
V_Velasquez,1118,G Stanton,4949,2016-05-17,Giancarlo Stanton struck out swinging.
V_Velasquez,1118,J Kipnis,9776,2016-05-01,Jason Kipnis grounded into a double play to second (Grounder). Jose Ramirez out at second.
V_Velasquez,1118,A Gordon,5209,2016-07-03,Alex Gordon grounded into a double play to second (Grounder). Yordano Ventura out at second.
V_Velasquez,1118,J Reyes,1736,2016-08-28,Jose Reyes struck out swinging.
V_Velasquez,1118,D Murphy,4316,2016-04-26,Daniel Murphy flied out to right (Fliner (Liner)).
V_Velasquez,1118,G Beckham,9015,2016-05-12,Gordon Beckham grounded into a double play to shortstop (Grounder). A.J. Pierzynski out at second.
V_Velasquez,1118,D Swanson,1831,2016-09-03,Dansby Swanson fouled out to second (Fly).
V_Velasquez,1118,R Grichuk,1024,2016-08-21,Randal Grichuk struck out swinging.
V_Velasquez,1118,Y Molina,7007,2016-08-21,Yadier Molina fouled out to first (Fly).
V_Velasquez,1118,J Bour,9744,2016-05-17,Justin Bour fouled out to third (Fly).
V_Velasquez,1118,J Taillon,1167,2016-07-24,Jameson Taillon flied out to right (Fliner (Liner)).
V_Velasquez,1118,H Pence,8252,2016-08-04,Hunter Pence struck out swinging.
V_Velasquez,1118,G Beckham,9015,2016-05-12,Gordon Beckham grounded into a double play to shortstop (Grounder). Kelly Johnson out at second.
V_Velasquez,1118,J Peterson,1232,2016-07-29,Jace Peterson struck out swinging.
V_Velasquez,1118,D LeMahieu,9874,2016-07-08,DJ LeMahieu reached on fielder's choice to catcher (Bunt Grounder). Jon Gray out at third. Charlie Blackmon advanced to 2B.
V_Velasquez,1118,R Zimmerman,4220,2016-04-26,Ryan Zimmerman fouled out to catcher (Fly).
V_Velasquez,1118,R Ray,1148,2016-06-27,Robbie Ray struck out swinging.
V_Velasquez,1118,D Santana,1034,2016-06-03,Domingo Santana struck out swinging.
V_Velasquez,1118,Y Cespedes,1311,2016-04-09,Yoenis Cespedes struck out swinging.
V_Velasquez,1118,R Davis,3708,2016-05-01,Rajai Davis flied out to left (Fliner (Fly)).
V_Velasquez,1118,F Freeman,5361,2016-07-29,Freddie Freeman flied out to shortstop (Fliner (Fly)).
V_Velasquez,1118,J Pederson,1189,2016-08-16,Joc Pederson struck out swinging.
V_Velasquez,1118,C Cuthbert,1047,2016-07-03,Cheslor Cuthbert struck out swinging.
V_Velasquez,1118,J Harrison,8202,2016-07-24,Josh Harrison fouled out to first (Fly).
V_Velasquez,1118,C Blackmon,7859,2016-07-08,Charlie Blackmon reached on fielder's choice to shortstop (Grounder). Jon Gray out at second.
V_Velasquez,1118,A Garcia,1377,2016-07-29,Adonis Garcia grounded out to shortstop (Grounder).
V_Velasquez,1118,N Markakis,5930,2016-09-03,Nick Markakis struck out swinging.
V_Velasquez,1118,A Rendon,1286,2016-04-26,Anthony Rendon grounded out to third (Grounder).
V_Velasquez,1118,N Walker,7539,2016-04-09,Neil Walker flied out to left (Fly).
V_Velasquez,1118,A Ramirez,5133,2016-04-14,Alexei Ramirez reached on fielder's choice to third (Grounder). Alexi Amarista out at second.
V_Velasquez,1118,W Chen,1307,2016-05-06,Wei-Yin Chen sacrificed to catcher (Bunt Grounder). Chris Johnson advanced to 2B.
V_Velasquez,1118,A Hill,6104,2016-06-03,Aaron Hill flied out to center (Fliner (Fly)). Jonathan Lucroy advanced to 3B. Error by Odubel Herrera.
V_Velasquez,1118,L Duda,2502,2016-04-09,Lucas Duda struck out swinging.
V_Velasquez,1118,B Belt,1026,2016-08-04,Brandon Belt struck out swinging.
V_Velasquez,1118,Y Cespedes,1311,2016-04-09,Yoenis Cespedes struck out swinging.
V_Velasquez,1118,E Diaz,1168,2016-07-24,Elias Diaz flied out to second (Fly).
V_Velasquez,1118,E Hosmer,3516,2016-07-03,Eric Hosmer reached on fielder's choice to first (Grounder). Alex Gordon advanced to 3B. Kendrys Morales out at second.
V_Velasquez,1118,C Seager,1362,2016-08-16,Corey Seager struck out looking.
V_Velasquez,1118,J Jay,5227,2016-04-14,Jon Jay struck out swinging.
V_Velasquez,1118,N Hundley,3376,2016-07-08,Nick Hundley flied out to left (Fly).
V_Velasquez,1118,A Hechavarria,1045,2016-05-17,Adeiny Hechavarria struck out swinging.
