playername,playerid,vsname,vsid,date,Play
W_Boscan,7655,C Gillaspie,9009,2016-06-21,Conor Gillaspie flied out to center (Fly).
W_Boscan,7655,D Span,8347,2016-06-21,Denard Span fouled out to third (Fly).
W_Boscan,7655,B Posey,9166,2016-06-21,Buster Posey grounded out to shortstop (Grounder).
W_Boscan,7655,T Story,1256,2016-05-23,Trevor Story flied out to first (Fliner (Fly)).
W_Boscan,7655,B Crawford,5343,2016-06-21,Brandon Crawford flied out to center (Fly).
W_Boscan,7655,J Panik,1193,2016-06-21,Joe Panik grounded out to second (Grounder).
W_Boscan,7655,C Rusin,9895,2016-05-23,Chris Rusin grounded out to pitcher (Grounder). DJ LeMahieu advanced to 3B. Tony Wolters advanced to 2B.
W_Boscan,7655,T Story,1256,2016-05-23,Trevor Story grounded out to third (Grounder).
W_Boscan,7655,C Gonzalez,7287,2016-05-23,Carlos Gonzalez struck out swinging.
W_Boscan,7655,I Suzuki,1101,2016-06-01,Ichiro Suzuki flied out to center (Fliner (Fly)).
W_Boscan,7655,N Arenado,9777,2016-05-23,Nolan Arenado flied out to right (Fly).
W_Boscan,7655,G Parra,8553,2016-05-23,Gerardo Parra flied out to center (Fly).
W_Boscan,7655,J Realmuto,1173,2016-06-01,J.T. Realmuto grounded out to second (Grounder).
W_Boscan,7655,M Reynolds,7619,2016-05-23,Mark Reynolds grounded out to third (Grounder).
W_Boscan,7655,J Profar,1081,2016-05-27,Jurickson Profar flied out to shortstop (Fly).
W_Boscan,7655,N Markakis,5930,2016-05-19,Nick Markakis lined out to third (Liner).
W_Boscan,7655,I Desmond,6885,2016-05-27,Ian Desmond struck out looking.
W_Boscan,7655,F Freeman,5361,2016-05-19,Freddie Freeman grounded out to first (Grounder).
W_Boscan,7655,J Francoeur,4792,2016-05-19,Jeff Francoeur struck out swinging.
W_Boscan,7655,J Marte,5107,2016-06-03,Jefry Marte grounded out to third (Grounder).
W_Boscan,7655,J Giavotella,6740,2016-06-03,Johnny Giavotella flied out to center (Fliner (Fly)).
W_Boscan,7655,Y Escobar,4191,2016-06-03,Yunel Escobar grounded out to third (Grounder).
W_Boscan,7655,K Calhoun,1120,2016-06-03,Kole Calhoun singled to right (Liner).
W_Boscan,7655,K Calhoun,1120,2016-06-03,Kole Calhoun walked.
W_Boscan,7655,Y Escobar,4191,2016-06-03,Yunel Escobar advanced on a wild pitch to 2B.
W_Boscan,7655,G Beckham,9015,2016-05-19,Gordon Beckham singled to right (Fliner (Fly)).
W_Boscan,7655,D LeMahieu,9874,2016-05-23,DJ LeMahieu balked to 2B.
W_Boscan,7655,A Beltre,639&,2016-05-27,Adrian Beltre singled to third (Grounder).
W_Boscan,7655,D LeMahieu,9874,2016-05-23,DJ LeMahieu singled to center (Liner).
W_Boscan,7655,T Wolters,1147,2016-05-23,Tony Wolters walked.
W_Boscan,7655,G Blanco,3123,2016-06-21,Gregor Blanco doubled to left (Fliner (Fly)).
W_Boscan,7655,C Gillaspie,9009,2016-06-21,Conor Gillaspie homered (Fly). Gregor Blanco scored.
W_Boscan,7655,C Blackmon,7859,2016-05-23,Charlie Blackmon doubled to right (Fliner (Liner)). DJ LeMahieu scored. Tony Wolters scored.
W_Boscan,7655,B Crawford,5343,2016-06-21,Brandon Crawford walked. Joe Panik scored. Brandon Belt advanced to 3B. Buster Posey advanced to 2B.
W_Boscan,7655,A Pagan,2918,2016-06-21,Angel Pagan homered (Fliner (Fly)). Brandon Belt scored. Buster Posey scored. Brandon Crawford scored.
