playername,playerid,vsname,vsid,date,Play
W_Davis,7441,J Abreu,1567,2016-09-10,Jose Abreu struck out swinging.
W_Davis,7441,J Morneau,1737,2016-09-10,Justin Morneau struck out swinging.
W_Davis,7441,G Springer,1285,2016-04-12,George Springer struck out looking.
W_Davis,7441,M Carpenter,8090,2016-06-29,Matt Carpenter struck out swinging.
W_Davis,7441,T Anderson,1517,2016-09-10,Tim Anderson out on a dropped third strike.
W_Davis,7441,D Santana,1032,2016-04-08,Danny Santana struck out swinging.
W_Davis,7441,E Nunez,6848,2016-05-24,Eduardo Nunez struck out swinging.
W_Davis,7441,E Rosario,1215,2016-04-08,Eddie Rosario struck out swinging.
W_Davis,7441,J Abreu,1567,2016-09-11,Jose Abreu flied out to right (Fliner (Liner)).
W_Davis,7441,A De Aza,3371,2016-04-03,Alejandro De Aza reached on fielder's choice to second (Grounder). Eric Campbell out at second.
W_Davis,7441,R Brignac,8380,2016-05-15,Reid Brignac struck out swinging.
W_Davis,7441,A Eaton,1120,2016-05-21,Adam Eaton grounded out to third (Grounder).
W_Davis,7441,M Hernandez,1315,2016-05-18,Marco Hernandez reached on fielder's choice to second (Grounder). Jackie Bradley Jr. out at second.
W_Davis,7441,J Morneau,1737,2016-09-11,Justin Morneau struck out swinging.
W_Davis,7441,J Marte,5107,2016-07-27,Jefry Marte lined out to second (Liner).
W_Davis,7441,B Dozier,9810,2016-09-27,Brian Dozier reached on fielder's choice to third (Grounder). James Beresford out at second.
W_Davis,7441,T Anderson,1517,2016-09-11,Tim Anderson fouled out to right (Fly).
W_Davis,7441,B Holt,9345,2016-05-18,Brock Holt grounded out to first (Grounder).
W_Davis,7441,Y Sanchez,1160,2016-09-17,Carlos Sanchez struck out swinging.
W_Davis,7441,V Martinez,393&,2016-06-19,Victor Martinez grounded out to second (Grounder).
W_Davis,7441,J Rollins,971&,2016-05-27,Jimmy Rollins flied out to left (Fly).
W_Davis,7441,C Maybin,5223,2016-06-19,Cameron Maybin flied out to center (Fly).
W_Davis,7441,A Garcia,5760,2016-05-29,Avisail Garcia grounded out to shortstop (Grounder).
W_Davis,7441,A Garcia,5760,2016-05-27,Avisail Garcia struck out swinging.
W_Davis,7441,I Kinsler,6195,2016-06-19,Ian Kinsler flied out to second (Fly).
W_Davis,7441,Y Molina,7007,2016-06-30,Yadier Molina flied out to center (Fliner (Liner)).
W_Davis,7441,Y Alonso,2530,2016-04-15,Yonder Alonso struck out swinging.
W_Davis,7441,J Martinez,6184,2016-09-02,J.D. Martinez grounded into a double play to third (Grounder). Miguel Cabrera out at second.
W_Davis,7441,J Saltalamacchia,5557,2016-04-19,Jarrod Saltalamacchia struck out swinging.
W_Davis,7441,A Beltre,639&,2016-07-22,Adrian Beltre flied out to center (Fly).
W_Davis,7441,T Saladino,1080,2016-05-29,Tyler Saladino struck out swinging.
W_Davis,7441,A Eaton,1120,2016-09-17,Adam Eaton struck out swinging.
W_Davis,7441,E Andrus,8709,2016-07-22,Elvis Andrus struck out looking.
W_Davis,7441,J Murphy,1034,2016-04-10,John Ryan Murphy fouled out to first (Fly).
W_Davis,7441,T Saladino,1080,2016-05-20,Tyler Saladino lined out to shortstop (Liner).
W_Davis,7441,B Buxton,1416,2016-09-28,Byron Buxton grounded out to shortstop (Grounder).
W_Davis,7441,V Martinez,393&,2016-09-03,Victor Martinez struck out swinging.
W_Davis,7441,M Trumbo,6876,2016-04-22,Mark Trumbo flied out to right (Fliner (Fly)).
W_Davis,7441,V Martinez,393&,2016-09-02,Victor Martinez struck out swinging.
W_Davis,7441,J Saltalamacchia,5557,2016-09-25,Jarrod Saltalamacchia struck out looking.
W_Davis,7441,L Martin,1184,2016-05-01,Leonys Martin struck out swinging.
W_Davis,7441,E Escobar,6153,2016-09-28,Eduardo Escobar grounded out to second (Grounder).
W_Davis,7441,L Chisenhall,7571,2016-10-02,Lonnie Chisenhall flied out to shortstop (Fly).
W_Davis,7441,A Almonte,5486,2016-07-18,Abraham Almonte fouled out to catcher (Fliner (Fly)).
W_Davis,7441,T Frazier,785&,2016-06-12,Todd Frazier struck out swinging.
W_Davis,7441,S Clevenger,9542,2016-05-01,Steve Clevenger grounded out to third (Grounder).
W_Davis,7441,C Crisp,1572,2016-04-15,Coco Crisp flied out to center (Fly).
W_Davis,7441,C Casali,1251,2016-05-31,Curt Casali flied out to left (Fly).
W_Davis,7441,J Hardy,3797,2016-04-22,J.J. Hardy grounded out to third (Grounder).
W_Davis,7441,M Cabrera,4022,2016-06-11,Melky Cabrera grounded out to first (Grounder).
W_Davis,7441,N Aoki,1307,2016-05-01,Nori Aoki fouled out to catcher (Bunt Fly).
W_Davis,7441,M Mahtook,1313,2016-06-01,Mikie Mahtook struck out swinging.
W_Davis,7441,J Martinez,6184,2016-09-24,J.D. Martinez flied out to right (Fly). JaCoby Jones advanced to 3B.
W_Davis,7441,M Cabrera,1744,2016-09-24,Miguel Cabrera flied out to center (Fliner (Fly)).
W_Davis,7441,M Aviles,5986,2016-07-16,Mike Aviles flied out to second (Fliner (Fly)).
W_Davis,7441,J Altuve,5417,2016-06-26,Jose Altuve flied out to right (Fly).
W_Davis,7441,C Correa,1416,2016-06-26,Carlos Correa grounded out to pitcher (Grounder).
W_Davis,7441,M Trumbo,6876,2016-06-08,Mark Trumbo struck out swinging.
W_Davis,7441,R Cano,3269,2016-04-30,Robinson Cano struck out swinging.
W_Davis,7441,S Smith,7331,2016-04-30,Seth Smith struck out looking.
W_Davis,7441,D Espinosa,9219,2016-05-04,Danny Espinosa flied out to third (Fly).
W_Davis,7441,S Drew,4251,2016-05-04,Stephen Drew flied out to right (Fliner (Fly)).
W_Davis,7441,C McGehee,6086,2016-06-18,Casey McGehee grounded out to pitcher (Grounder).
W_Davis,7441,Y Sanchez,1160,2016-05-20,Carlos Sanchez advanced on a wild pitch to 3B.
W_Davis,7441,Y Sanchez,1160,2016-05-20,Carlos Sanchez advanced on defensive indifference to 2B.
W_Davis,7441,B Gardner,9927,2016-05-11,Brett Gardner was hit by a pitch.
W_Davis,7441,J Jones,1481,2016-09-24,JaCoby Jones advanced on a wild pitch to 2B.
W_Davis,7441,G Springer,1285,2016-06-26,George Springer singled to left (Fliner (Fly)).
W_Davis,7441,C Casali,1251,2016-06-01,Brandon Guyer advanced on a wild pitch to 2B.
W_Davis,7441,A Garcia,5760,2016-06-11,Avisail Garcia singled to right (Fliner (Liner)). Todd Frazier scored.
W_Davis,7441,J Profar,1081,2016-07-24,Jurickson Profar singled to right (Fliner (Liner)).
W_Davis,7441,B Guyer,2636,2016-06-01,Brandon Guyer singled to left (Liner). Curt Casali advanced to 2B.
W_Davis,7441,R Rua,1240,2016-07-22,Ryan Rua singled to third (Grounder).
W_Davis,7441,Y Sanchez,1160,2016-05-20,Carlos Sanchez singled to center (Liner).
W_Davis,7441,J Iglesias,1023,2016-09-25,Jose Iglesias hit a ground rule double (Fliner (Fly)).
W_Davis,7441,J Shuck,6677,2016-09-10,J.B. Shuck advanced on a stolen base to 2B.
W_Davis,7441,M Trout,1015,2016-07-27,Mike Trout walked. Yunel Escobar advanced to 2B.
W_Davis,7441,E Escobar,6153,2016-05-24,Eduardo Escobar doubled to center (Fliner (Liner)).
W_Davis,7441,E Nunez,6848,2016-04-10,Eduardo Nunez was hit by a pitch.
W_Davis,7441,A Simmons,1084,2016-07-27,Andrelton Simmons singled to center (Fliner (Liner)). Yunel Escobar scored. Mike Trout advanced to 3B. Ji-Man Choi advanced to 2B.
W_Davis,7441,B Lawrie,5247,2016-05-27,Brett Lawrie singled to center (Fliner (Liner)).
W_Davis,7441,J Beresford,4626,2016-09-27,James Beresford singled to shortstop (Grounder).
W_Davis,7441,J Bradley Jr.,1298,2016-05-18,Jackie Bradley Jr. singled to right (Grounder).
W_Davis,7441,J Peralta,1738,2016-06-30,Jhonny Peralta singled to center (Liner).
W_Davis,7441,A Eaton,1120,2016-09-11,Adam Eaton singled to left (Fliner (Liner)).
W_Davis,7441,L Valbuena,4969,2016-04-12,Luis Valbuena walked.
W_Davis,7441,B Dozier,9810,2016-04-08,Brian Dozier walked.
W_Davis,7441,I Kinsler,6195,2016-09-02,Ian Kinsler was hit by a pitch.
W_Davis,7441,J Castro,8722,2016-04-12,Jason Castro walked. Jake Marisnick advanced to 2B.
W_Davis,7441,K Wong,1253,2016-06-29,Kolten Wong walked.
W_Davis,7441,M Cabrera,4022,2016-09-10,Melky Cabrera singled to shortstop (Grounder). Tyler Saladino scored. Adam Eaton advanced to 3B.
W_Davis,7441,C Granderson,4747,2016-04-03,Curtis Granderson singled to center (Grounder). Alejandro De Aza advanced to 3B.
W_Davis,7441,A Eaton,1120,2016-09-10,Adam Eaton doubled to left (Fliner (Liner)). Tyler Saladino advanced to 3B.
W_Davis,7441,J Peralta,1738,2016-06-29,Jhonny Peralta singled to left (Grounder). Greg Garcia scored. Mike Leake advanced to 2B.
