playername,playerid,vsname,vsid,date,Play
W_Difo,1432,R Ray,1148,2016-08-02,Wilmer Difo singled to center (Grounder). Anthony Rendon scored. Chris Heisey advanced to 2B.
W_Difo,1432,J Samardzija,3254,2016-07-29,Wilmer Difo doubled to left (Liner).
W_Difo,1432,T Watson,3132,2016-09-23,Wilmer Difo doubled to left (Grounder).
W_Difo,1432,T Koehler,6570,2016-10-02,Wilmer Difo walked. Stephen Drew advanced to 2B.
W_Difo,1432,J Gray,1491,2016-08-17,Wilmer Difo singled to left (Grounder). Anthony Rendon scored. Danny Espinosa advanced to 3B. Wilmer Difo advanced to 2B.
W_Difo,1432,N Wittgren,1559,2016-09-19,Wilmer Difo singled to center (Fliner (Liner)). Wilmer Difo advanced to 2B on error. Error by Christian Yelich.
W_Difo,1432,T Glasnow,1437,2016-09-25,Wilmer Difo walked.
W_Difo,1432,A Brice,1723,2016-10-02,Wilmer Difo reached on fielder's choice to first (Grounder). Bryce Harper scored. Stephen Drew out at second.
W_Difo,1432,E Burgos,3895,2016-08-03,Wilmer Difo singled to left (Liner).
W_Difo,1432,T Koehler,6570,2016-10-02,Wilmer Difo advanced on a stolen base to 2B.
W_Difo,1432,R Ray,1148,2016-08-02,Wilmer Difo singled to shortstop (Grounder).
W_Difo,1432,M Cabrera,1297,2016-08-12,Wilmer Difo advanced on a wild pitch to 2B.
W_Difo,1432,J Barrett,1332,2016-08-03,Wilmer Difo was intentionally walked.
W_Difo,1432,J Gray,1491,2016-08-17,Wilmer Difo advanced on a wild pitch to 3B.
W_Difo,1432,S Bracho,1505,2016-09-26,Wilmer Difo walked.
W_Difo,1432,A Loewen,2134,2016-08-02,Wilmer Difo flied out to right (Fliner (Fly)). Chris Heisey advanced to 3B.
W_Difo,1432,R Weber,1016,2016-08-20,Wilmer Difo reached on fielder's choice to second (Grounder). Anthony Rendon advanced to 3B. Ryan Zimmerman out at second.
W_Difo,1432,S Bracho,1505,2016-09-29,Wilmer Difo flied out to center (Fly).
W_Difo,1432,D Otero,7385,2016-08-10,Wilmer Difo grounded out to third (Grounder).
W_Difo,1432,C Roe,9866,2016-08-21,Wilmer Difo grounded out to second (Grounder).
W_Difo,1432,R Ray,1148,2016-08-02,Wilmer Difo grounded out to second (Grounder).
W_Difo,1432,W LeBlanc,5221,2016-09-25,Wilmer Difo struck out swinging.
W_Difo,1432,S Romo,9817,2016-08-06,Wilmer Difo flied out to center (Fliner (Fly)).
W_Difo,1432,F Rivero,1207,2016-09-23,Wilmer Difo flied out to center (Fliner (Liner)).
W_Difo,1432,J Samardzija,3254,2016-07-29,Wilmer Difo grounded out to second (Grounder). Anthony Rendon advanced to 3B.
W_Difo,1432,W Chen,1307,2016-10-01,Wilmer Difo struck out looking.
W_Difo,1432,W Miley,8779,2016-08-24,Wilmer Difo struck out swinging.
W_Difo,1432,W Chen,1307,2016-09-19,Wilmer Difo fouled out to second (Fly).
W_Difo,1432,W Chen,1307,2016-10-01,Wilmer Difo flied out to left (Fly).
W_Difo,1432,M Wisler,1280,2016-09-18,Wilmer Difo flied out to center (Fliner (Liner)).
W_Difo,1432,A Bastardo,8844,2016-09-25,Wilmer Difo grounded out to pitcher (Grounder). Ben Revere advanced to 2B.
W_Difo,1432,J Hoffman,1743,2016-08-26,Wilmer Difo flied out to center (Fliner (Liner)).
W_Difo,1432,M Foltynewicz,1081,2016-08-12,Wilmer Difo flied out to center (Fliner (Fly)).
W_Difo,1432,H Strickland,7836,2016-07-31,Wilmer Difo grounded out to second (Grounder).
W_Difo,1432,Z Godley,1486,2016-08-03,Wilmer Difo struck out swinging.
