playername,playerid,vsname,vsid,date,Play
W_Harris,3192,D Jennings,1965,2016-06-11,Desmond Jennings grounded into a double play to second (Grounder). Mikie Mahtook out at second.
W_Harris,3192,J Bandy,1250,2016-06-27,Jett Bandy struck out swinging.
W_Harris,3192,R Ortega,1032,2016-05-29,Rafael Ortega grounded out to first (Grounder).
W_Harris,3192,M Trout,1015,2016-06-22,Mike Trout flied out to left (Liner).
W_Harris,3192,J Schoop,1126,2016-05-25,Jonathan Schoop reached on fielder's choice to shortstop (Grounder). Manny Machado out at second.
W_Harris,3192,K Calhoun,1120,2016-06-22,Kole Calhoun singled to left (Grounder). Shane Robinson scored. Yunel Escobar out at third. Kole Calhoun
W_Harris,3192,V Martinez,393&,2016-07-30,Victor Martinez grounded out to shortstop (Grounder).
W_Harris,3192,R Healy,1544,2016-07-19,Ryon Healy struck out looking.
W_Harris,3192,D Nava,5450,2016-07-22,Daniel Nava reached on fielder's choice to shortstop (Grounder). Kole Calhoun advanced to 3B. Mike Trout out at second.
W_Harris,3192,W Contreras,1160,2016-09-10,Willson Contreras was caught stealing.
W_Harris,3192,J Lucroy,7870,2016-09-04,Jonathan Lucroy grounded out to shortstop (Grounder).
W_Harris,3192,M Betts,1361,2016-05-13,Mookie Betts struck out swinging.
W_Harris,3192,M Semien,1253,2016-07-08,Marcus Semien struck out looking.
W_Harris,3192,J Harrison,8202,2016-08-24,Josh Harrison struck out swinging.
W_Harris,3192,C Crisp,1572,2016-05-01,Coco Crisp grounded out to first (Grounder).
W_Harris,3192,S Clevenger,9542,2016-04-27,Steve Clevenger struck out swinging.
W_Harris,3192,K Pillar,1243,2016-08-04,Kevin Pillar reached on fielder's choice to second (Grounder). Justin Smoak out at third.
W_Harris,3192,J Mauer,1857,2016-05-03,Joe Mauer reached on fielder's choice to shortstop (Grounder). Brian Dozier out at second.
W_Harris,3192,B Hamilton,1019,2016-06-17,Billy Hamilton struck out swinging.
W_Harris,3192,J Smoak,9054,2016-08-01,Justin Smoak struck out looking.
W_Harris,3192,J Profar,1081,2016-09-14,Jurickson Profar struck out looking.
W_Harris,3192,K Calhoun,1120,2016-05-29,Kole Calhoun flied out to shortstop (Fliner (Fly)).
W_Harris,3192,P Alvarez,2495,2016-05-25,Pedro Alvarez struck out swinging.
W_Harris,3192,R Odor,1228,2016-09-14,Rougned Odor grounded out to first (Grounder). Delino DeShields advanced to 3B.
W_Harris,3192,M Moreland,3086,2016-06-08,Mitch Moreland flied out to center (Fly).
W_Harris,3192,J Lucroy,7870,2016-09-12,Jonathan Lucroy grounded into a double play to shortstop (Grounder). Rougned Odor out at second.
W_Harris,3192,R Odor,1228,2016-06-08,Rougned Odor out on a dropped third strike.
W_Harris,3192,M Saunders,9981,2016-08-12,Michael Saunders flied out to left (Fly).
W_Harris,3192,M Cabrera,4022,2016-05-17,Melky Cabrera grounded out to pitcher (Grounder).
W_Harris,3192,K Kiermaier,1103,2016-08-26,Kevin Kiermaier grounded out to second (Grounder).
W_Harris,3192,T Plouffe,7462,2016-08-09,Trevor Plouffe grounded out to shortstop (Grounder).
W_Harris,3192,M Cabrera,4022,2016-05-18,Melky Cabrera struck out looking.
W_Harris,3192,J Mercer,6547,2016-08-24,Jordy Mercer struck out swinging.
W_Harris,3192,M Montero,3364,2016-09-10,Miguel Montero flied out to right (Fly).
W_Harris,3192,A Jones,6368,2016-05-24,Adam Jones struck out swinging.
W_Harris,3192,J Reddick,3892,2016-07-10,Josh Reddick grounded out to second (Grounder).
W_Harris,3192,S Castro,4579,2016-04-07,Starlin Castro struck out swinging.
W_Harris,3192,S Souza Jr.,5667,2016-06-11,Steven Souza Jr. hit a sacrifice fly to center (Fly). Logan Morrison scored. Taylor Motter advanced to 3B.
W_Harris,3192,J Mercer,6547,2016-08-22,Jordy Mercer grounded out to third (Grounder).
W_Harris,3192,Y Rivera,1186,2016-04-09,Yadiel Rivera out on a dropped third strike.
W_Harris,3192,J Ellsbury,4727,2016-04-07,Jacoby Ellsbury grounded out to shortstop (Grounder).
W_Harris,3192,Y Alonso,2530,2016-06-04,Yonder Alonso grounded out to first (Grounder).
W_Harris,3192,J Bandy,1250,2016-06-22,Jett Bandy flied out to right (Fly).
W_Harris,3192,C Owings,1003,2016-06-01,Chris Owings struck out swinging.
W_Harris,3192,I Desmond,6885,2016-08-07,Ian Desmond reached on fielder's choice to second (Grounder). Delino DeShields out at home. Shin-Soo Choo advanced to 3B. Ian Desmond advanced to 2B.
W_Harris,3192,T Plouffe,7462,2016-05-03,Trevor Plouffe flied out to second (Fly).
W_Harris,3192,S Gennett,1033,2016-04-10,Scooter Gennett grounded into a double play to second (Grounder). Colin Walsh out at second.
W_Harris,3192,J Lowrie,4418,2016-07-19,Jed Lowrie struck out looking.
W_Harris,3192,C Davis,9272,2016-05-24,Chris Davis struck out swinging.
