playername,playerid,vsname,vsid,date,Play
W_Middlebrooks,7002,T Cingrani,1255,2016-07-15,Will Middlebrooks singled to right (Fliner (Fly)). Jake Elmore advanced to 2B.
W_Middlebrooks,7002,R Iglesias,1713,2016-07-15,Will Middlebrooks reached on error to third (Grounder). Error by Eugenio Suarez.
W_Middlebrooks,7002,J Locke,2929,2016-07-20,Will Middlebrooks walked.
W_Middlebrooks,7002,C Martinez,1168,2016-07-09,Will Middlebrooks walked.
W_Middlebrooks,7002,J Diaz,3397,2016-07-16,Will Middlebrooks struck out swinging.
W_Middlebrooks,7002,K Sampson,1003,2016-07-16,Will Middlebrooks lined out to third (Liner).
W_Middlebrooks,7002,A Caminero,8992,2016-07-20,Will Middlebrooks struck out swinging.
W_Middlebrooks,7002,F Liriano,3201,2016-07-21,Will Middlebrooks grounded out to shortstop (Grounder).
W_Middlebrooks,7002,G Gonzalez,7448,2016-07-05,Will Middlebrooks flied out to center (Fliner (Liner)).
W_Middlebrooks,7002,A Schugel,1143,2016-07-20,Will Middlebrooks struck out looking.
W_Middlebrooks,7002,G Gonzalez,7448,2016-07-05,Will Middlebrooks grounded out to shortstop (Grounder).
W_Middlebrooks,7002,M Wacha,1407,2016-07-08,Will Middlebrooks struck out swinging.
W_Middlebrooks,7002,A DeSclafani,1305,2016-07-15,Will Middlebrooks struck out swinging.
W_Middlebrooks,7002,J Locke,2929,2016-07-20,Will Middlebrooks grounded out to first (Grounder). Scooter Gennett advanced to 3B.
W_Middlebrooks,7002,T Lyons,1133,2016-07-09,Will Middlebrooks struck out swinging.
W_Middlebrooks,7002,C Martinez,1168,2016-07-09,Will Middlebrooks struck out swinging.
