playername,playerid,vsname,vsid,date,Play
W_Myers,1004,J McGee,7550,2016-06-10,Wil Myers homered (Fly). Alexi Amarista scored. Jon Jay scored.
W_Myers,1004,F Rivero,1207,2016-06-18,Wil Myers doubled to center (Fliner (Liner)). Alexei Ramirez scored. Alexi Amarista scored. Jon Jay advanced to 3B.
W_Myers,1004,E Butler,1345,2016-05-03,Wil Myers doubled to left (Grounder). Jon Jay scored.
W_Myers,1004,K Maeda,1849,2016-05-22,Wil Myers tripled to center (Fliner (Fly)). Alexi Amarista scored. Colin Rea scored. Jon Jay scored.
W_Myers,1004,F Liriano,3201,2016-04-19,Wil Myers homered (Fliner (Fly)). Alexi Amarista scored.
W_Myers,1004,A Vizcaino,5498,2016-06-07,Wil Myers singled (Liner). Alexei Ramirez scored. Travis Jankowski advanced to 3B.
W_Myers,1004,J Nelson,1054,2016-08-01,Wil Myers doubled to center (Fliner (Fly)). Alexi Amarista advanced to 3B.
W_Myers,1004,K Jansen,3096,2016-05-20,Wil Myers singled to center (Fly).
W_Myers,1004,J Gray,1491,2016-06-05,Wil Myers doubled to center (Fliner (Fly)). Jon Jay scored.
W_Myers,1004,T Roark,8753,2016-06-16,Wil Myers homered (Fliner (Liner)).
W_Myers,1004,J Gray,1491,2016-09-10,Wil Myers hit a ground rule double (Fliner (Liner)). Christian Friedrich scored. Travis Jankowski scored. Jon Jay advanced to 3B.
W_Myers,1004,H Neris,1180,2016-08-05,Wil Myers homered (Fliner (Liner)).
W_Myers,1004,C Reed,1523,2016-06-24,Wil Myers singled to center (Liner). Adam Rosales scored.
W_Myers,1004,W Chen,1307,2016-06-13,Wil Myers homered (Fly).
W_Myers,1004,C Gearrin,7947,2016-09-25,Wil Myers singled to right (Grounder). Manuel Margot scored.
W_Myers,1004,J deGrom,1095,2016-05-05,Wil Myers homered (Fly).
W_Myers,1004,A Bradley,1291,2016-08-18,Wil Myers singled to center (Fliner (Liner)). Travis Jankowski scored.
W_Myers,1004,P Strop,4070,2016-05-11,Wil Myers singled to third (Grounder). Travis Jankowski scored on error. Wil Myers Error by Javier Baez.
W_Myers,1004,L Coleman,9720,2016-05-22,Wil Myers walked.
W_Myers,1004,J Teheran,6797,2016-06-08,Wil Myers homered (Fly).
