playername,playerid,vsname,vsid,date,Play
W_Ramos,1433,H Rondon,2391,2016-06-15,Wilson Ramos singled to left (Fliner (Liner)). Bryce Harper scored.
W_Ramos,1433,P Baez,5420,2016-06-22,Wilson Ramos homered (Fliner (Fly)).
W_Ramos,1433,T May,6398,2016-04-24,Wilson Ramos doubled to center (Fliner (Liner)). Anthony Rendon scored. Jayson Werth scored.
W_Ramos,1433,M Bumgarner,5524,2016-08-07,Wilson Ramos homered (Fly).
W_Ramos,1433,A Ramos,8350,2016-09-19,Wilson Ramos doubled to center (Fliner (Liner)).
W_Ramos,1433,C Friedrich,7942,2016-07-24,Wilson Ramos homered (Fly). Daniel Murphy scored.
W_Ramos,1433,L Hochevar,6943,2016-05-03,Wilson Ramos hit a ground rule double (Fly). Ryan Zimmerman scored. Jayson Werth advanced to 3B.
W_Ramos,1433,K Hendricks,1204,2016-06-13,Wilson Ramos homered (Fly).
W_Ramos,1433,J Familia,5114,2016-09-13,Wilson Ramos singled to second (Grounder). Bryce Harper scored. Anthony Rendon advanced to 2B.
W_Ramos,1433,A Conley,1445,2016-04-19,Wilson Ramos homered (Fly).
W_Ramos,1433,B Norris,9492,2016-04-11,Wilson Ramos singled to shortstop (Grounder). Ryan Zimmerman scored.
W_Ramos,1433,J Hellickson,4371,2016-06-10,Wilson Ramos homered (Fly).
W_Ramos,1433,A Morgan,1258,2016-06-01,Wilson Ramos homered (Fly). Ryan Zimmerman scored. Anthony Rendon scored.
W_Ramos,1433,J Lamb,8493,2016-07-03,Wilson Ramos homered (Fly).
W_Ramos,1433,A Caminero,8992,2016-07-17,Wilson Ramos walked. Bryce Harper advanced to 2B.
W_Ramos,1433,N Syndergaard,1176,2016-09-02,Wilson Ramos singled to center (Grounder). Bryce Harper scored.
W_Ramos,1433,J Niese,4424,2016-07-17,Wilson Ramos singled to center (Grounder).
W_Ramos,1433,J Eickhoff,1266,2016-08-30,Wilson Ramos singled to center (Grounder). Bryce Harper scored. Anthony Rendon advanced to 2B.
W_Ramos,1433,L Perdomo,1468,2016-07-22,Wilson Ramos singled to right (Liner). Bryce Harper scored.
W_Ramos,1433,D Wright,1517,2016-06-05,Wilson Ramos singled to center (Grounder). Bryce Harper advanced to 3B. Daniel Murphy advanced to 2B.
W_Ramos,1433,J Nicolino,1175,2016-05-20,Wilson Ramos doubled to left (Liner). Anthony Rendon scored.
W_Ramos,1433,C Villanueva,4138,2016-07-24,Wilson Ramos singled to right (Fliner (Liner)). Daniel Murphy scored. Wilson Ramos out.
W_Ramos,1433,J Manship,6865,2016-07-26,Wilson Ramos homered (Fly).
W_Ramos,1433,Z Britton,3240,2016-08-24,Wilson Ramos reached on fielder's choice to pitcher (Grounder).
