playername,playerid,vsname,vsid,date,Play
X_Scruggs,7409,A Reed,1058,2016-08-29,Xavier Scruggs doubled to left (Fliner (Liner)). Ichiro Suzuki scored.
X_Scruggs,7409,C Kuhl,1497,2016-08-20,Xavier Scruggs homered (Fliner (Fly)). Ichiro Suzuki scored.
X_Scruggs,7409,J deGrom,1095,2016-09-01,Xavier Scruggs doubled to center (Fliner (Fly)). Jeff Francoeur scored.
X_Scruggs,7409,L Perdomo,1468,2016-08-28,Xavier Scruggs walked.
X_Scruggs,7409,J Soria,6941,2016-08-25,Xavier Scruggs walked.
X_Scruggs,7409,Y Ventura,1185,2016-08-23,Xavier Scruggs singled to center (Fliner (Liner)). Ichiro Suzuki advanced to 2B.
X_Scruggs,7409,A Morgan,1258,2016-09-06,Xavier Scruggs singled to center (Liner). J.T. Realmuto advanced to 2B.
X_Scruggs,7409,S Gilmartin,1278,2016-08-29,Xavier Scruggs singled to center (Grounder).
X_Scruggs,7409,J Eickhoff,1266,2016-09-05,Xavier Scruggs was hit by a pitch.
X_Scruggs,7409,D Salazar,5867,2016-09-04,Xavier Scruggs walked.
X_Scruggs,7409,S Lugo,1244,2016-08-30,Xavier Scruggs singled to left (Liner).
X_Scruggs,7409,J Hellickson,4371,2016-09-17,Xavier Scruggs was hit by a pitch.
X_Scruggs,7409,F Salas,4971,2016-09-01,Xavier Scruggs struck out swinging.
X_Scruggs,7409,M Melancon,4264,2016-10-02,Xavier Scruggs grounded out to third (Grounder).
X_Scruggs,7409,C Carrasco,6632,2016-09-02,Xavier Scruggs struck out swinging.
X_Scruggs,7409,R Hill,4806,2016-09-10,Xavier Scruggs grounded out to third (Grounder).
X_Scruggs,7409,J Collmenter,7312,2016-09-22,Xavier Scruggs flied out to center (Fly).
X_Scruggs,7409,J Eickhoff,1266,2016-09-05,Xavier Scruggs struck out swinging.
X_Scruggs,7409,D Salazar,5867,2016-09-04,Xavier Scruggs grounded out to third (Grounder).
X_Scruggs,7409,R Vogelsong,1011,2016-08-21,Xavier Scruggs lined out to shortstop (Fliner (Liner)).
X_Scruggs,7409,R Hill,4806,2016-09-10,Xavier Scruggs struck out swinging.
X_Scruggs,7409,E Ramos,1608,2016-09-05,Xavier Scruggs flied out to right (Fly).
X_Scruggs,7409,M Scherzer,3137,2016-10-02,Xavier Scruggs grounded out to third (Grounder). Justin Bour advanced to 2B.
X_Scruggs,7409,C Carrasco,6632,2016-09-02,Xavier Scruggs struck out looking.
X_Scruggs,7409,J deGrom,1095,2016-09-01,Xavier Scruggs grounded out to pitcher (Grounder).
X_Scruggs,7409,R Vogelsong,1011,2016-08-21,Xavier Scruggs struck out swinging.
X_Scruggs,7409,J Cosart,1030,2016-08-26,Xavier Scruggs grounded out to shortstop (Grounder).
X_Scruggs,7409,D Gee,7396,2016-08-24,Xavier Scruggs grounded out to third (Grounder).
X_Scruggs,7409,M Scherzer,3137,2016-10-02,Xavier Scruggs struck out looking.
X_Scruggs,7409,B Colon,375&,2016-08-31,Xavier Scruggs flied out to left (Fliner (Fly)).
X_Scruggs,7409,C Richard,3551,2016-08-27,Xavier Scruggs flied out to center (Fliner (Fly)).
X_Scruggs,7409,J deGrom,1095,2016-09-01,Xavier Scruggs struck out swinging.
X_Scruggs,7409,J Hughes,9325,2016-08-19,Xavier Scruggs flied out to center (Fliner (Liner)).
X_Scruggs,7409,S Lugo,1244,2016-08-30,Xavier Scruggs struck out looking.
X_Scruggs,7409,Y Ventura,1185,2016-08-23,Xavier Scruggs struck out swinging.
X_Scruggs,7409,M Scherzer,3137,2016-10-02,Xavier Scruggs struck out swinging.
