playername,playerid,vsname,vsid,date,Play
Y_Gallardo,8173,D LeMahieu,9874,2016-07-25,DJ LeMahieu grounded into a double play to second (Grounder). Charlie Blackmon out at second.
Y_Gallardo,8173,E Encarnacion,2151,2016-07-30,Edwin Encarnacion grounded into a double play to second (Grounder). Josh Donaldson out at second.
Y_Gallardo,8173,J Smoak,9054,2016-06-18,Justin Smoak struck out swinging.
Y_Gallardo,8173,E Andrus,8709,2016-04-16,Elvis Andrus grounded into a double play to third (Grounder). Rougned Odor out at second.
Y_Gallardo,8173,E Gattis,1100,2016-08-21,Evan Gattis grounded into a double play to shortstop (Grounder). Carlos Correa out at second.
Y_Gallardo,8173,T Tulowitzki,3531,2016-07-30,Troy Tulowitzki flied out to second (Fly).
Y_Gallardo,8173,R Martin,4616,2016-07-30,Russell Martin out on a dropped third strike.
Y_Gallardo,8173,L Maile,1335,2016-09-15,Luke Maile struck out swinging.
Y_Gallardo,8173,D Jennings,1965,2016-06-24,Desmond Jennings grounded into a double play to shortstop (Grounder). Logan Morrison advanced to 3B. Brad Miller out at second.
Y_Gallardo,8173,D Ortiz,745&,2016-08-16,David Ortiz struck out swinging.
Y_Gallardo,8173,A Garcia,5760,2016-08-05,Avisail Garcia grounded into a double play to shortstop (Grounder). Justin Morneau out at second.
Y_Gallardo,8173,T Story,1256,2016-07-25,Trevor Story flied out to left (Fly).
Y_Gallardo,8173,Y Sanchez,1160,2016-08-05,Carlos Sanchez lined out to pitcher (Liner).
Y_Gallardo,8173,M Moreland,3086,2016-04-16,Mitch Moreland struck out swinging.
Y_Gallardo,8173,E Longoria,9368,2016-07-15,Evan Longoria flied out to left (Fly).
Y_Gallardo,8173,M Gonzalez,5497,2016-08-21,Marwin Gonzalez flied out to left (Fly).
Y_Gallardo,8173,M Betts,1361,2016-04-11,Mookie Betts reached on fielder's choice to shortstop (Grounder). Blake Swihart scored. Jackie Bradley Jr. out at third.
Y_Gallardo,8173,L Morrison,9205,2016-07-15,Logan Morrison grounded out to third (Grounder).
Y_Gallardo,8173,N Franklin,1016,2016-09-15,Nick Franklin struck out looking.
Y_Gallardo,8173,K Kiermaier,1103,2016-09-15,Kevin Kiermaier struck out looking.
Y_Gallardo,8173,M Gonzalez,5497,2016-08-21,Marwin Gonzalez struck out swinging.
Y_Gallardo,8173,D Descalso,8392,2016-07-25,Daniel Descalso flied out to left (Fly).
Y_Gallardo,8173,G Sanchez,1144,2016-09-30,Gary Sanchez reached on fielder's choice to second (Grounder). Chase Headley out at second.
Y_Gallardo,8173,D Gregorius,6012,2016-09-30,Didi Gregorius grounded out to second (Liner).
Y_Gallardo,8173,P Goldschmidt,9218,2016-09-23,Paul Goldschmidt grounded into a double play to shortstop (Grounder). Chris Owings out at second.
Y_Gallardo,8173,T Thompson,9952,2016-07-04,Trayce Thompson struck out looking.
Y_Gallardo,8173,C Headley,4720,2016-09-30,Chase Headley lined out to second (Liner).
Y_Gallardo,8173,P Fielder,4613,2016-04-16,Prince Fielder flied out to center (Fliner (Fly)).
Y_Gallardo,8173,J Giavotella,6740,2016-07-09,Johnny Giavotella flied out to center (Fly). Daniel Nava advanced to 3B.
Y_Gallardo,8173,C Dickerson,1076,2016-09-15,Corey Dickerson struck out swinging.
Y_Gallardo,8173,N Hundley,3376,2016-07-25,Nick Hundley struck out swinging.
Y_Gallardo,8173,K Kiermaier,1103,2016-07-15,Kevin Kiermaier flied out to first (Fly).
Y_Gallardo,8173,Y Grandal,1136,2016-07-04,Yasmani Grandal struck out swinging.
Y_Gallardo,8173,T Shaw,1198,2016-04-11,Travis Shaw flied out to center (Fly).
Y_Gallardo,8173,D Gregorius,6012,2016-07-20,Didi Gregorius flied out to left (Fly).
Y_Gallardo,8173,T Frazier,785&,2016-08-05,Todd Frazier grounded out to shortstop (Grounder).
Y_Gallardo,8173,B Wallace,8434,2016-06-29,Brett Wallace struck out swinging.
Y_Gallardo,8173,G Sanchez,1144,2016-09-30,Gary Sanchez grounded out to third (Grounder).
Y_Gallardo,8173,Y Escobar,4191,2016-07-09,Yunel Escobar grounded out to pitcher (Grounder).
Y_Gallardo,8173,C Seager,1362,2016-07-04,Corey Seager flied out to shortstop (Fly).
Y_Gallardo,8173,K Kiermaier,1103,2016-07-15,Kevin Kiermaier flied out to right (Fliner (Fly)). Corey Dickerson advanced to 3B.
Y_Gallardo,8173,M Moreland,3086,2016-04-16,Mitch Moreland grounded out to second (Liner).
Y_Gallardo,8173,B McCann,4810,2016-09-30,Brian McCann grounded out to second (Grounder).
Y_Gallardo,8173,M Reynolds,7619,2016-07-25,Mark Reynolds was caught stealing.
Y_Gallardo,8173,R Odor,1228,2016-04-16,Rougned Odor flied out to center (Fly).
Y_Gallardo,8173,T Tulowitzki,3531,2016-07-30,Troy Tulowitzki flied out to center (Fly).
Y_Gallardo,8173,E Escobar,6153,2016-04-06,Eduardo Escobar flied out to left (Fliner (Fly)).
Y_Gallardo,8173,K Suzuki,8259,2016-04-06,Kurt Suzuki flied out to third (Fly).
Y_Gallardo,8173,E Rosario,1215,2016-04-06,Eddie Rosario grounded out to first (Grounder).
Y_Gallardo,8173,W Venable,211&,2016-07-04,Will Venable struck out swinging.
Y_Gallardo,8173,A Eaton,1120,2016-08-05,Adam Eaton flied out to left (Fliner (Fly)).
Y_Gallardo,8173,L Forsythe,7185,2016-07-15,Logan Forsythe reached on fielder's choice to shortstop (Grounder). Luke Maile out at second.
Y_Gallardo,8173,N Franklin,1016,2016-09-06,Nick Franklin struck out swinging.
Y_Gallardo,8173,C Gonzalez,7287,2016-07-25,Carlos Gonzalez struck out swinging.
Y_Gallardo,8173,J Altuve,5417,2016-08-21,Jose Altuve grounded out to third (Grounder).
Y_Gallardo,8173,X Bogaerts,1216,2016-04-11,Xander Bogaerts grounded out to first (Grounder).
Y_Gallardo,8173,T Thompson,9952,2016-07-04,Trayce Thompson grounded out to shortstop (Grounder).
Y_Gallardo,8173,A Simmons,1084,2016-07-09,Andrelton Simmons struck out looking.
Y_Gallardo,8173,C Seager,1362,2016-07-04,Corey Seager struck out looking.
Y_Gallardo,8173,T Plouffe,7462,2016-04-06,Trevor Plouffe reached on fielder's choice to third (Grounder). Miguel Sano out at second.
Y_Gallardo,8173,T Hernandez,1306,2016-08-21,Teoscar Hernandez flied out to left (Fliner (Liner)).
Y_Gallardo,8173,M Muncy,1330,2016-08-10,Max Muncy struck out swinging.
Y_Gallardo,8173,M Williams,1185,2016-09-30,Mason Williams flied out to center (Fliner (Fly)).
Y_Gallardo,8173,B Wilson,6564,2016-09-06,Bobby Wilson flied out to left (Fliner (Liner)).
Y_Gallardo,8173,D DeShields,1137,2016-04-16,Delino DeShields struck out looking.
Y_Gallardo,8173,A Ramirez,5133,2016-06-29,Alexei Ramirez flied out to right (Fliner (Liner)).
Y_Gallardo,8173,K Suzuki,8259,2016-04-06,Kurt Suzuki flied out to center (Fly).
Y_Gallardo,8173,R Odor,1228,2016-04-16,Rougned Odor grounded out to second (Grounder).
Y_Gallardo,8173,E Rosario,1215,2016-04-06,Eddie Rosario struck out swinging.
Y_Gallardo,8173,J Bradley Jr.,1298,2016-08-16,Jackie Bradley Jr. grounded out to second (Grounder).
Y_Gallardo,8173,T Tulowitzki,3531,2016-06-18,Troy Tulowitzki grounded out to shortstop (Grounder).
Y_Gallardo,8173,L Maile,1335,2016-09-15,Luke Maile grounded out to third (Grounder).
Y_Gallardo,8173,R Healy,1544,2016-08-10,Ryon Healy struck out swinging.
Y_Gallardo,8173,L Morrison,9205,2016-09-06,Logan Morrison grounded out to first (Grounder).
Y_Gallardo,8173,D Valencia,6364,2016-08-10,Danny Valencia fouled out to catcher (Fly).
Y_Gallardo,8173,K Calhoun,1120,2016-07-09,Kole Calhoun was caught stealing.
Y_Gallardo,8173,D Ortiz,745&,2016-04-11,David Ortiz struck out looking.
Y_Gallardo,8173,B Dozier,9810,2016-04-06,Brian Dozier flied out to center (Fly).
Y_Gallardo,8173,Y Escobar,4191,2016-07-09,Yunel Escobar fouled out to third (Fly).
Y_Gallardo,8173,D Pedroia,8370,2016-08-16,Dustin Pedroia grounded out to shortstop (Grounder).
Y_Gallardo,8173,J Segura,5933,2016-09-23,Jean Segura grounded out to shortstop (Grounder).
Y_Gallardo,8173,J Bautista,1887,2016-07-30,Jose Bautista struck out swinging.
Y_Gallardo,8173,E Andrus,8709,2016-04-16,Elvis Andrus grounded out to third (Grounder).
Y_Gallardo,8173,B Wallace,8434,2016-06-29,Brett Wallace grounded out to first (Grounder).
Y_Gallardo,8173,R Martin,4616,2016-07-30,Russell Martin struck out looking.
Y_Gallardo,8173,M Upton Jr.,5015,2016-06-29,Melvin Upton Jr. grounded out to third (Grounder).
Y_Gallardo,8173,R Healy,1544,2016-08-10,Ryon Healy grounded out to shortstop (Grounder).
Y_Gallardo,8173,B Gardner,9927,2016-07-20,Brett Gardner flied out to center (Fly).
Y_Gallardo,8173,B Park,1849,2016-04-06,Byung-ho Park struck out swinging.
Y_Gallardo,8173,J Donaldson,5038,2016-08-31,Josh Donaldson grounded out to shortstop (Grounder).
Y_Gallardo,8173,B Maxwell,1386,2016-08-10,Bruce Maxwell III flied out to left (Fliner (Liner)).
Y_Gallardo,8173,D Valencia,6364,2016-08-10,Danny Valencia flied out to right (Fly).
Y_Gallardo,8173,S Castro,4579,2016-08-26,Starlin Castro flied out to center (Fly).
Y_Gallardo,8173,S Souza Jr.,5667,2016-07-15,Steven Souza Jr. struck out swinging.
Y_Gallardo,8173,S Leon,5273,2016-08-16,Sandy Leon flied out to left (Fly).
Y_Gallardo,8173,M Cabrera,4022,2016-08-05,Melky Cabrera lined out to second (Liner).
Y_Gallardo,8173,B Dozier,9810,2016-04-06,Brian Dozier sacrificed to pitcher (Bunt Grounder). Byron Buxton advanced to 3B.
Y_Gallardo,8173,D Ortiz,745&,2016-04-11,David Ortiz flied out to right (Fly).
Y_Gallardo,8173,B Guyer,2636,2016-07-15,Brandon Guyer grounded out to second (Grounder).
Y_Gallardo,8173,Y Escobar,4191,2016-07-09,Yunel Escobar flied out to shortstop (Fly).
Y_Gallardo,8173,Y Tomas,1717,2016-09-23,Yasmany Tomas flied out to right (Fly).
Y_Gallardo,8173,J Segura,5933,2016-09-23,Jean Segura grounded out to third (Grounder).
Y_Gallardo,8173,P Goldschmidt,9218,2016-09-23,Paul Goldschmidt grounded out to pitcher (Grounder).
Y_Gallardo,8173,G Springer,1285,2016-08-21,George Springer grounded out to shortstop (Grounder).
Y_Gallardo,8173,R Torreyes,1140,2016-09-30,Ronald Torreyes grounded out to shortstop (Grounder).
Y_Gallardo,8173,E Longoria,9368,2016-06-24,Evan Longoria flied out to right (Fly).
Y_Gallardo,8173,E Encarnacion,2151,2016-08-31,Edwin Encarnacion flied out to center (Fliner (Fly)).
Y_Gallardo,8173,C Correa,1416,2016-08-21,Carlos Correa grounded out to second (Grounder).
Y_Gallardo,8173,L Forsythe,7185,2016-09-06,Logan Forsythe flied out to right (Fly).
Y_Gallardo,8173,E Andrus,8709,2016-04-16,Elvis Andrus flied out to center (Fliner (Liner)).
Y_Gallardo,8173,C Friedrich,7942,2016-06-29,Christian Friedrich struck out looking.
Y_Gallardo,8173,J Morneau,1737,2016-08-05,Justin Morneau struck out swinging.
Y_Gallardo,8173,D Gregorius,6012,2016-09-30,Didi Gregorius flied out to center (Fliner (Fly)).
Y_Gallardo,8173,J Ellsbury,4727,2016-08-26,Jacoby Ellsbury grounded out to first (Grounder).
Y_Gallardo,8173,K Pillar,1243,2016-06-18,Kevin Pillar grounded out to second (Grounder).
Y_Gallardo,8173,J Smolinski,5408,2016-08-10,Jake Smolinski flied out to right (Fliner (Liner)).
Y_Gallardo,8173,J Donaldson,5038,2016-06-18,Josh Donaldson struck out looking.
Y_Gallardo,8173,X Bogaerts,1216,2016-08-16,Xander Bogaerts grounded out to third (Grounder).
Y_Gallardo,8173,C Owings,1003,2016-09-23,Chris Owings flied out to right (Fly).
Y_Gallardo,8173,E Longoria,9368,2016-09-06,Evan Longoria struck out looking.
Y_Gallardo,8173,D Navarro,3179,2016-08-05,Dioner Navarro grounded out to shortstop (Grounder).
Y_Gallardo,8173,J Ellsbury,4727,2016-07-20,Jacoby Ellsbury flied out to left (Fliner (Fly)).
Y_Gallardo,8173,C Dickerson,1076,2016-07-15,Corey Dickerson struck out swinging.
Y_Gallardo,8173,A Hicks,5297,2016-07-20,Aaron Hicks struck out swinging.
Y_Gallardo,8173,E Encarnacion,2151,2016-08-31,Edwin Encarnacion grounded out to third (Grounder).
Y_Gallardo,8173,M Upton Jr.,5015,2016-07-30,Melvin Upton Jr. grounded out to third (Grounder).
Y_Gallardo,8173,A Hicks,5297,2016-07-20,Aaron Hicks flied out to third (Fly).
Y_Gallardo,8173,H Conger,2505,2016-06-24,Hank Conger struck out swinging.
Y_Gallardo,8173,E Longoria,9368,2016-06-24,Evan Longoria grounded out to third (Grounder).
Y_Gallardo,8173,L Cain,9077,2016-04-22,Lorenzo Cain grounded out to third (Grounder).
Y_Gallardo,8173,T Tulowitzki,3531,2016-08-31,Troy Tulowitzki flied out to second (Fly).
Y_Gallardo,8173,E Escobar,6153,2016-04-06,Eduardo Escobar struck out swinging.
Y_Gallardo,8173,B Drury,1161,2016-09-23,Brandon Drury struck out looking.
Y_Gallardo,8173,W Castillo,3256,2016-09-23,Welington Castillo grounded out to second (Grounder).
Y_Gallardo,8173,M Saunders,9981,2016-08-31,Michael Saunders struck out swinging.
Y_Gallardo,8173,E Longoria,9368,2016-09-06,Evan Longoria grounded out to pitcher (Grounder).
Y_Gallardo,8173,M Saunders,9981,2016-07-30,Michael Saunders struck out swinging.
Y_Gallardo,8173,H Ramirez,8001,2016-04-11,Hanley Ramirez hit a sacrifice fly to center (Fly). Xander Bogaerts scored.
Y_Gallardo,8173,O Infante,1609,2016-04-22,Omar Infante grounded out to second (Grounder).
Y_Gallardo,8173,D LeMahieu,9874,2016-07-25,DJ LeMahieu flied out to right (Fliner (Fly)).
Y_Gallardo,8173,A Bregman,1767,2016-08-21,Alex Bregman struck out looking.
Y_Gallardo,8173,M Upton Jr.,5015,2016-06-29,Melvin Upton Jr. grounded out to pitcher (Grounder).
Y_Gallardo,8173,C Utley,1679,2016-07-04,Chase Utley grounded out to second (Grounder).
Y_Gallardo,8173,R Torreyes,1140,2016-07-20,Ronald Torreyes grounded out to shortstop (Grounder).
Y_Gallardo,8173,J Altuve,5417,2016-08-21,Jose Altuve flied out to second (Fly).
Y_Gallardo,8173,E Longoria,9368,2016-07-15,Evan Longoria flied out to center (Fly).
Y_Gallardo,8173,N Franklin,1016,2016-09-15,Nick Franklin flied out to third (Fly).
Y_Gallardo,8173,C Beltran,589&,2016-07-20,Carlos Beltran flied out to right (Fly).
Y_Gallardo,8173,M Semien,1253,2016-08-10,Marcus Semien struck out swinging.
Y_Gallardo,8173,M Williams,1185,2016-09-30,Mason Williams struck out swinging.
Y_Gallardo,8173,D Navarro,3179,2016-08-31,Dioner Navarro flied out to third (Fly).
Y_Gallardo,8173,C Headley,4720,2016-09-30,Chase Headley flied out to left (Fly).
Y_Gallardo,8173,J Bautista,1887,2016-08-31,Jose Bautista grounded out to shortstop (Grounder).
Y_Gallardo,8173,T Hernandez,1306,2016-08-21,Teoscar Hernandez flied out to center (Fly).
Y_Gallardo,8173,J Lamb,1332,2016-09-23,Jake Lamb grounded out to first (Grounder).
Y_Gallardo,8173,Y Solarte,5352,2016-06-29,Yangervis Solarte struck out swinging.
Y_Gallardo,8173,R Schimpf,9953,2016-06-29,Ryan Schimpf flied out to shortstop (Fly).
Y_Gallardo,8173,S Castro,4579,2016-07-20,Starlin Castro grounded out to third (Grounder).
Y_Gallardo,8173,B Gardner,9927,2016-07-20,Brett Gardner struck out swinging.
Y_Gallardo,8173,L Morrison,9205,2016-07-15,Logan Morrison grounded out to first (Grounder).
Y_Gallardo,8173,B Miller,1277,2016-06-24,Brad Miller grounded out to second (Grounder).
Y_Gallardo,8173,C Dickerson,1076,2016-09-15,Corey Dickerson struck out swinging.
Y_Gallardo,8173,C Dickerson,1076,2016-06-24,Corey Dickerson flied out to left (Fliner (Fly)).
Y_Gallardo,8173,J Donaldson,5038,2016-08-31,Josh Donaldson grounded out to shortstop (Grounder).
