playername,playerid,vsname,vsid,date,Play
Y_Molina,7007,B Wood,1345,2016-09-29,Yadier Molina doubled to left (Fliner (Liner)). Matt Carpenter scored.
Y_Molina,7007,R Ohlendorf,8268,2016-08-08,Yadier Molina was hit by a pitch. Stephen Piscotty scored. Mike Leake advanced to 3B. Brandon Moss advanced to 2B.
Y_Molina,7007,W Smith,8048,2016-07-08,Yadier Molina homered (Fliner (Fly)).
Y_Molina,7007,R Vogelsong,1011,2016-09-06,Yadier Molina homered (Fly). Kolten Wong scored. Brandon Moss scored. Matt Adams scored.
Y_Molina,7007,R Ohlendorf,8268,2016-06-09,Yadier Molina singled to center (Fliner (Liner)). Aledmys Diaz scored. Matt Holliday advanced to 3B. Stephen Piscotty advanced to 2B.
Y_Molina,7007,T Thornburg,1068,2016-08-29,Yadier Molina reached on fielder's choice to pitcher (Bunt Grounder). Greg Garcia out at third. Stephen Piscotty scored on error. Yadier Molina advanced to 2B. Error by Jonathan Villar.
Y_Molina,7007,H Rondon,2391,2016-04-19,Yadier Molina singled to right (Grounder).
Y_Molina,7007,R Gsellman,1369,2016-08-23,Yadier Molina doubled to center (Fliner (Fly)). Matt Carpenter scored. Brandon Moss advanced to 3B.
Y_Molina,7007,D Straily,9460,2016-09-29,Yadier Molina homered (Fliner (Fly)).
Y_Molina,7007,J Nicasio,7731,2016-10-02,Yadier Molina hit a ground rule double (Fliner (Liner)).
Y_Molina,7007,W Peralta,7738,2016-04-14,Yadier Molina doubled to left (Grounder). Randal Grichuk advanced to 3B.
Y_Molina,7007,A DeSclafani,1305,2016-09-02,Yadier Molina homered (Fly).
Y_Molina,7007,J Urena,1158,2016-07-29,Yadier Molina doubled to left (Fliner (Liner)). Matt Holliday scored. Matt Adams advanced to 3B.
Y_Molina,7007,J Lester,4930,2016-08-11,Yadier Molina singled to right (Grounder). Matt Holliday scored. Brandon Moss advanced to 3B.
Y_Molina,7007,D Fister,9425,2016-08-17,Yadier Molina doubled to left (Grounder). Stephen Piscotty scored. Brandon Moss advanced to 3B.
Y_Molina,7007,J Niese,4424,2016-06-12,Yadier Molina singled to left (Grounder). Stephen Piscotty scored. Jhonny Peralta scored on error. Yadier Molina advanced to 2B. Error by Starling Marte.
Y_Molina,7007,N Martinez,1273,2016-06-18,Yadier Molina singled to center (Grounder). Jhonny Peralta scored.
Y_Molina,7007,C Rea,1231,2016-04-24,Yadier Molina singled to left (Liner). Randal Grichuk scored.
Y_Molina,7007,C Gearrin,7947,2016-06-05,Yadier Molina reached on fielder's choice and error to shortstop (Grounder). Matt Holliday scored on error. Stephen Piscotty advanced to 3B. Matt Adams advanced to 2B on error. Error by Brandon Crawford.
Y_Molina,7007,M Garza,3340,2016-08-31,Yadier Molina homered (Fliner (Fly)).
Y_Molina,7007,T Cingrani,1255,2016-06-07,Yadier Molina singled to right (Grounder).
Y_Molina,7007,J Gomez,9033,2016-08-19,Yadier Molina singled to left (Fliner (Liner)).
Y_Molina,7007,K Quackenbush,1236,2016-04-23,Yadier Molina walked.
Y_Molina,7007,C Anderson,6895,2016-04-13,Yadier Molina singled to left (Liner). Randal Grichuk scored. Yadier Molina out.
Y_Molina,7007,N Feliz,18&p,2016-04-05,Yadier Molina was hit by a pitch.
Y_Molina,7007,J Henderson,6653,2016-08-23,Yadier Molina singled to center (Grounder). Matt Carpenter advanced to 2B.
Y_Molina,7007,J deGrom,1095,2016-08-24,Yadier Molina doubled to right (Fliner (Fly)).
Y_Molina,7007,R Detwiler,2859,2016-08-26,Yadier Molina singled to center (Fliner (Liner)). Brandon Moss advanced to 3B.
Y_Molina,7007,J Lackey,1507,2016-08-14,Yadier Molina singled to center (Grounder).
Y_Molina,7007,B Finnegan,1620,2016-06-09,Yadier Molina singled to center (Grounder).
Y_Molina,7007,S Casilla,2873,2016-09-17,Yadier Molina walked.
Y_Molina,7007,J Ramirez,1017,2016-08-05,Yadier Molina walked. Brandon Moss advanced to 3B. Matt Holliday advanced to 2B.
