playername,playerid,vsname,vsid,date,Play
Y_Ventura,1185,C Maybin,5223,2016-07-17,Cameron Maybin grounded into a double play to shortstop (Grounder). Ian Kinsler out at second.
Y_Ventura,1185,C Gomez,4881,2016-04-13,Carlos Gomez grounded out to second (Grounder).
Y_Ventura,1185,I Suzuki,1101,2016-08-23,Ichiro Suzuki grounded out to second (Grounder).
Y_Ventura,1185,B Miller,1277,2016-08-02,Brad Miller grounded into a double play to second (Grounder). Evan Longoria out at second.
Y_Ventura,1185,B Miller,1277,2016-08-02,Brad Miller grounded out to second (Grounder).
Y_Ventura,1185,M Cabrera,1744,2016-07-17,Miguel Cabrera struck out looking.
Y_Ventura,1185,C Beltran,589&,2016-05-11,Carlos Beltran grounded out to first (Grounder).
Y_Ventura,1185,M Napoli,3057,2016-09-30,Mike Napoli grounded into a double play to third (Grounder). Francisco Lindor out at second.
Y_Ventura,1185,I Kinsler,6195,2016-09-03,Ian Kinsler was caught stealing.
Y_Ventura,1185,H Ramirez,8001,2016-08-28,Hanley Ramirez grounded into a double play to shortstop (Grounder). Mookie Betts out at second.
Y_Ventura,1185,C McGehee,6086,2016-08-17,Casey McGehee grounded into a double play to shortstop (Grounder). Tyler Collins out at second.
Y_Ventura,1185,M Ozuna,1032,2016-08-23,Marcell Ozuna flied out to right (Fliner (Fly)).
Y_Ventura,1185,T Collins,1272,2016-09-03,Tyler Collins struck out looking.
Y_Ventura,1185,M Cabrera,1744,2016-04-19,Miguel Cabrera struck out swinging.
Y_Ventura,1185,V Martinez,393&,2016-04-19,Victor Martinez fouled out to first (Fly).
Y_Ventura,1185,N Franklin,1016,2016-08-02,Nick Franklin was caught stealing.
Y_Ventura,1185,C Headley,4720,2016-05-11,Chase Headley grounded out to first (Grounder).
Y_Ventura,1185,X Scruggs,7409,2016-08-23,Xavier Scruggs struck out swinging.
Y_Ventura,1185,M Cabrera,4022,2016-09-09,Melky Cabrera flied out to right (Fly).
Y_Ventura,1185,V Martinez,393&,2016-09-24,Victor Martinez struck out swinging.
Y_Ventura,1185,C Santana,2396,2016-06-02,Carlos Santana grounded out to pitcher (Grounder).
Y_Ventura,1185,L Chisenhall,7571,2016-05-06,Lonnie Chisenhall reached on fielder's choice to shortstop (Grounder). Yan Gomes out at second.
Y_Ventura,1185,N Franklin,1016,2016-08-02,Nick Franklin flied out to left (Fly).
Y_Ventura,1185,J Iglesias,1023,2016-06-17,Jose Iglesias grounded into a double play to shortstop (Grounder). Andrew Romine out at second.
Y_Ventura,1185,M Machado,1149,2016-04-24,Manny Machado grounded out to shortstop (Grounder).
Y_Ventura,1185,D Ackley,1009,2016-05-11,Dustin Ackley grounded out to shortstop (Grounder).
Y_Ventura,1185,J Bradley Jr.,1298,2016-05-17,Jackie Bradley Jr. grounded out to first (Grounder).
Y_Ventura,1185,C Gomez,4881,2016-04-13,Carlos Gomez grounded into a double play to second (Grounder). Preston Tucker out at second.
Y_Ventura,1185,A Cashner,8782,2016-08-23,Andrew Cashner reached on fielder's choice to second (Grounder). Xavier Scruggs out at second.
Y_Ventura,1185,D Pedroia,8370,2016-05-17,Dustin Pedroia grounded into a double play to shortstop (Grounder). Mookie Betts out at second.
Y_Ventura,1185,J Upton,5222,2016-09-03,Justin Upton grounded out to shortstop (Grounder).
Y_Ventura,1185,F Lindor,1291,2016-06-02,Francisco Lindor reached on fielder's choice to pitcher (Grounder). Jason Kipnis out at second.
Y_Ventura,1185,E Rosario,1215,2016-08-12,Eddie Rosario struck out swinging.
Y_Ventura,1185,R Davis,3708,2016-05-06,Rajai Davis lined out to pitcher (Liner).
Y_Ventura,1185,D Barney,2430,2016-08-07,Darwin Barney struck out swinging.
Y_Ventura,1185,B Lawrie,5247,2016-06-12,Brett Lawrie grounded out to third (Grounder).
Y_Ventura,1185,J Martinez,6184,2016-09-24,J.D. Martinez out on a dropped third strike.
Y_Ventura,1185,Y Gomes,9627,2016-06-02,Yan Gomes reached on fielder's choice to shortstop (Grounder). Lonnie Chisenhall out at second.
Y_Ventura,1185,J McCann,1285,2016-08-17,James McCann struck out swinging.
Y_Ventura,1185,T Collins,1272,2016-08-17,Tyler Collins struck out swinging.
Y_Ventura,1185,S Leon,5273,2016-08-28,Sandy Leon flied out to left (Fly).
Y_Ventura,1185,T Anderson,1517,2016-09-19,Tim Anderson grounded out to third (Grounder).
Y_Ventura,1185,P Alvarez,2495,2016-04-24,Pedro Alvarez flied out to center (Fly).
Y_Ventura,1185,B Gamel,1216,2016-05-11,Benjamin Gamel grounded out to pitcher (Grounder).
Y_Ventura,1185,Y Gomes,9627,2016-06-02,Yan Gomes struck out looking.
Y_Ventura,1185,E Longoria,9368,2016-08-02,Evan Longoria fouled out to catcher (Fly).
Y_Ventura,1185,D Gregorius,6012,2016-05-11,Didi Gregorius flied out to right (Fliner (Fly)).
Y_Ventura,1185,M Saunders,9981,2016-08-07,Michael Saunders grounded out to first (Grounder).
Y_Ventura,1185,B Lawrie,5247,2016-05-22,Brett Lawrie fouled out to third (Fly).
Y_Ventura,1185,Y Sanchez,1160,2016-05-22,Carlos Sanchez flied out to center (Fly).
Y_Ventura,1185,O Narvaez,1333,2016-09-09,Omar Narvaez fouled out to left (Fly).
Y_Ventura,1185,I Suzuki,1101,2016-08-23,Ichiro Suzuki reached on fielder's choice to second (Grounder). J.T. Realmuto out at second.
