playername,playerid,vsname,vsid,date,Play
Z_Cozart,2616,M Wacha,1407,2016-08-08,Zack Cozart doubled to left (Fliner (Fly)). Eugenio Suarez scored. Tucker Barnhart scored. Zack Cozart advanced to 3B.
Z_Cozart,2616,F Liriano,3201,2016-04-30,Zack Cozart doubled to left (Grounder). Billy Hamilton scored.
Z_Cozart,2616,J Lackey,1507,2016-04-23,Zack Cozart singled to right (Fliner (Liner)). Tyler Holt advanced to 3B.
Z_Cozart,2616,J Hughes,9325,2016-05-01,Zack Cozart reached on error to right (Fliner (Liner)). Zack Cozart advanced to 2B. Error by Gregory Polanco.
Z_Cozart,2616,J Peavy,1051,2016-05-04,Zack Cozart homered (Fliner (Fly)). Adam Duvall scored.
Z_Cozart,2616,M Wisler,1280,2016-07-18,Zack Cozart homered (Fliner (Fly)).
Z_Cozart,2616,J Garcia,8137,2016-09-03,Zack Cozart doubled to left (Liner). Tyler Holt scored.
Z_Cozart,2616,J Garcia,8137,2016-09-03,Zack Cozart doubled to left (Grounder). Billy Hamilton advanced to 3B.
Z_Cozart,2616,M Harvey,1171,2016-04-27,Zack Cozart homered (Fly).
Z_Cozart,2616,A Warren,9029,2016-07-06,Zack Cozart homered (Fliner (Fly)).
Z_Cozart,2616,J Niese,4424,2016-05-09,Zack Cozart homered (Fliner (Fly)).
Z_Cozart,2616,E Butler,1345,2016-06-02,Zack Cozart homered (Fly).
Z_Cozart,2616,C Bettis,1058,2016-05-30,Zack Cozart homered (Fly).
Z_Cozart,2616,D Hutchison,1073,2016-09-10,Zack Cozart singled to left (Grounder). Tucker Barnhart scored. Hernan Iribarren advanced to 3B. Zack Cozart out.
Z_Cozart,2616,G Gonzalez,7448,2016-06-03,Zack Cozart singled to right (Grounder). Eugenio Suarez scored. Billy Hamilton advanced to 3B. Ramon Cabrera advanced to 2B.
Z_Cozart,2616,J Hellickson,4371,2016-04-04,Zack Cozart doubled to left (Liner).
Z_Cozart,2616,C Rea,1231,2016-06-24,Zack Cozart singled to left (Grounder). Billy Hamilton scored. Cody Reed advanced to 2B.
Z_Cozart,2616,J de la Rosa,2047,2016-04-19,Zack Cozart singled to left (Fliner (Liner)). Billy Hamilton scored.
Z_Cozart,2616,I Nova,1994,2016-09-08,Zack Cozart singled to second (Grounder). Tucker Barnhart scored.
Z_Cozart,2616,M Bowman,1352,2016-08-09,Zack Cozart singled to right (Fly). Billy Hamilton scored.
