playername,playerid,vsname,vsid,date,Play
Z_Curtis,1668,J Bruce,9892,2016-07-24,Jay Bruce struck out swinging.
Z_Curtis,1668,A Pierzynski,746&,2016-05-08,A.J. Pierzynski grounded out to second (Grounder).
Z_Curtis,1668,J Panik,1193,2016-05-14,Joe Panik flied out to left (Fly).
Z_Curtis,1668,D Dietrich,1054,2016-05-05,Derek Dietrich grounded out to pitcher (Grounder).
Z_Curtis,1668,S Rodriguez,6589,2016-05-25,Sean Rodriguez grounded out to third (Grounder).
Z_Curtis,1668,J Parker,1162,2016-07-09,Jarrett Parker flied out to left (Fly).
Z_Curtis,1668,B Crawford,5343,2016-05-13,Brandon Crawford flied out to first (Fly).
Z_Curtis,1668,J Heyward,4940,2016-06-03,Jason Heyward grounded out to first (Grounder).
Z_Curtis,1668,J Samardzija,3254,2016-05-13,Jeff Samardzija lined out to third (Liner).
Z_Curtis,1668,A Hechavarria,1045,2016-05-05,Adeiny Hechavarria grounded out to pitcher (Grounder).
Z_Curtis,1668,A Pagan,2918,2016-05-13,Angel Pagan flied out to second (Fly).
Z_Curtis,1668,A Pagan,2918,2016-07-09,Angel Pagan flied out to right (Fly).
Z_Curtis,1668,C Headley,4720,2016-05-18,Chase Headley struck out swinging.
Z_Curtis,1668,D Garneau,9433,2016-05-11,Dustin Garneau struck out swinging.
Z_Curtis,1668,A Rizzo,3473,2016-06-03,Anthony Rizzo singled to right (Liner). Kris Bryant advanced to 3B. Anthony Rizzo out.
Z_Curtis,1668,C Gonzalez,7287,2016-05-11,Carlos Gonzalez flied out to center (Fly).
Z_Curtis,1668,C Gomez,4881,2016-06-01,Carlos Gomez flied out to center (Fliner (Fly)). Marwin Gonzalez advanced to 3B.
Z_Curtis,1668,C Correa,1416,2016-05-30,Carlos Correa grounded out to third (Grounder).
Z_Curtis,1668,Y Molina,7007,2016-05-21,Yadier Molina grounded out to shortstop (Grounder).
Z_Curtis,1668,A Diaz,1593,2016-05-21,Aledmys Diaz flied out to shortstop (Fly).
Z_Curtis,1668,S Piscotty,1336,2016-05-21,Stephen Piscotty singled to left (Fliner (Liner)). Ruben Tejada advanced to 3B.
Z_Curtis,1668,A Pagan,2918,2016-07-08,Angel Pagan singled to right (Fliner (Fly)).
Z_Curtis,1668,B Belt,1026,2016-07-08,Brandon Belt walked. Angel Pagan advanced to 2B.
Z_Curtis,1668,M Gonzalez,5497,2016-06-01,Marwin Gonzalez was hit by a pitch.
Z_Curtis,1668,D Freese,9549,2016-05-25,David Freese walked.
Z_Curtis,1668,K Bryant,1542,2016-06-03,Kris Bryant was hit by a pitch.
Z_Curtis,1668,J Turner,5235,2016-07-16,Justin Turner walked.
Z_Curtis,1668,J Villar,1007,2016-07-26,Jonathan Villar singled to left (Grounder). Scooter Gennett scored. Keon Broxton scored. Kirk Nieuwenhuis advanced to 2B.
Z_Curtis,1668,J Bruce,9892,2016-07-22,Jay Bruce walked. Joey Votto advanced to 2B.
Z_Curtis,1668,J Votto,4314,2016-07-24,Joey Votto walked.
Z_Curtis,1668,K Johnson,2234,2016-05-08,Kelly Johnson walked. Nick Markakis advanced to 3B. Freddie Freeman advanced to 2B.
Z_Curtis,1668,N Markakis,5930,2016-05-08,Nick Markakis singled to left (Grounder).
Z_Curtis,1668,C Seager,1362,2016-07-29,Corey Seager doubled to center (Fliner (Fly)).
Z_Curtis,1668,C Yelich,1147,2016-06-10,Christian Yelich doubled to left (Grounder). Adeiny Hechavarria scored. Martin Prado scored. Christian Yelich advanced to 3B.
