playername,playerid,vsname,vsid,date,Play
Z_Duke,3840,R Cano,3269,2016-07-20,Robinson Cano grounded into a double play to second (Grounder). Franklin Gutierrez out at second.
Z_Duke,3840,S Schebler,1222,2016-09-04,Scott Schebler flied out to left (Fly). Tyler Holt out at home.
Z_Duke,3840,C Vazquez,9774,2016-06-20,Christian Vazquez reached on fielder's choice to right (Grounder). Hanley Ramirez out at home. Jackie Bradley Jr. advanced to 3B. Chris Young advanced to 2B.
Z_Duke,3840,D Freese,9549,2016-09-06,David Freese grounded into a double play to second (Grounder). Chris Stewart out at second.
Z_Duke,3840,C Coghlan,6878,2016-04-07,Chris Coghlan struck out swinging.
Z_Duke,3840,R Healy,1544,2016-08-27,Ryon Healy struck out swinging.
Z_Duke,3840,H Ramirez,8001,2016-06-22,Hanley Ramirez struck out looking.
Z_Duke,3840,D Santana,1032,2016-06-30,Danny Santana lined out to first (Liner).
Z_Duke,3840,J Loney,4556,2016-08-23,James Loney grounded into a double play to shortstop (Grounder). Yoenis Cespedes out at second.
Z_Duke,3840,T Tulowitzki,3531,2016-06-24,Troy Tulowitzki struck out swinging.
Z_Duke,3840,D Marrero,1332,2016-06-22,Deven Marrero struck out swinging.
Z_Duke,3840,C Maybin,5223,2016-06-13,Cameron Maybin struck out swinging.
Z_Duke,3840,M Kepler,1214,2016-07-29,Max Kepler grounded out to third (Grounder).
Z_Duke,3840,C Blackmon,7859,2016-09-19,Charlie Blackmon flied out to right (Fly).
Z_Duke,3840,M Saunders,9981,2016-06-24,Michael Saunders struck out swinging.
Z_Duke,3840,P Fielder,4613,2016-04-23,Prince Fielder struck out swinging.
Z_Duke,3840,S Leon,5273,2016-06-22,Sandy Leon grounded out to shortstop (Grounder).
Z_Duke,3840,E Escobar,6153,2016-07-29,Eduardo Escobar grounded out to third (Grounder).
Z_Duke,3840,Z Cozart,2616,2016-09-04,Zack Cozart flied out to right (Fliner (Liner)).
Z_Duke,3840,J Mauer,1857,2016-04-11,Joe Mauer grounded out to shortstop (Grounder).
Z_Duke,3840,J Ellsbury,4727,2016-07-04,Jacoby Ellsbury flied out to left (Fliner (Liner)).
Z_Duke,3840,J Saltalamacchia,5557,2016-07-23,Jarrod Saltalamacchia struck out looking.
Z_Duke,3840,E Suarez,1255,2016-08-02,Eugenio Suarez struck out swinging.
Z_Duke,3840,M Conforto,1637,2016-06-01,Michael Conforto struck out swinging.
